START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.67,8.67,4,8.78,8.78,1,8.67,8.67,6,8.97,8.97,5,8.90,8.90,3,8.77,8.77,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
3,11.91,20.58,4,11.93,20.71,2,11.63,20.30,6,12.05,21.02,5,11.91,20.81,1,11.39,20.16,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
2,11.03,31.61,4,11.11,31.82,3,11.34,31.64,6,11.09,32.11,5,11.14,31.95,1,11.37,31.53,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,10.65,42.26,4,10.75,42.57,3,10.84,42.48,6,10.89,43.00,5,10.68,42.63,2,10.82,42.35,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,11.05,53.31,4,11.03,53.60,3,11.03,53.51,6,10.84,53.84,5,11.05,53.68,2,11.05,53.40,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,10.91,1:04.22,5,10.89,1:04.49,3,10.78,1:04.29,6,11.02,1:04.86,4,10.71,1:04.39,2,10.87,1:04.27,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,9.81,1:14.03,5,9.91,1:14.40,2,9.79,1:14.08,6,10.96,1:15.82,3,9.75,1:14.14,4,9.94,1:14.21,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,10.02,1:24.05,5,10.07,1:24.47,2,10.08,1:24.16,6,11.10,1:26.92,3,10.14,1:24.28,4,10.13,1:24.34,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,10.14,1:34.19,5,10.17,1:34.64,2,10.11,1:34.27,6,11.55,1:38.47,3,10.11,1:34.39,4,10.19,1:34.53,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,10.17,1:44.36,5,10.15,1:44.79,2,10.17,1:44.44,6,11.92,1:50.39,3,10.12,1:44.51,4,10.12,1:44.65,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,9.98,1:54.34,5,10.42,1:55.21,2,10.00,1:54.44,6,12.30,2:02.69,3,10.02,1:54.53,4,10.26,1:54.91,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,9.86,2:04.20,5,10.72,2:05.93,2,9.90,2:04.34,6,13.81,2:16.50,3,9.89,2:04.42,4,10.62,2:05.53,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,9.94,2:14.14,5,11.29,2:17.22,2,9.90,2:14.24,6,13.55,2:30.05,3,9.96,2:14.38,4,10.99,2:16.52,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
1,10.14,2:24.278,5,11.97,2:29.187,2,10.13,2:24.366,6,12.97,2:43.012,3,10.05,2:24.424,4,12.04,2:28.554,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,w,Heats,4
