START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.71,8.71,2,8.89,8.89,3,9.01,9.01,4,9.18,9.18,5,9.29,9.29,6,9.77,9.77,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
2,12.74,21.45,4,12.68,21.57,3,12.44,21.45,1,12.17,21.35,5,12.40,21.69,6,12.21,21.98,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
4,11.54,32.99,5,11.52,33.09,2,11.47,32.92,1,11.47,32.82,3,11.27,32.96,6,11.45,33.43,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
5,11.89,44.88,1,11.41,44.50,3,11.73,44.65,2,11.73,44.55,4,11.79,44.75,6,11.71,45.14,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
5,10.53,55.41,1,10.55,55.05,3,10.60,55.25,2,10.60,55.15,4,10.59,55.34,6,10.54,55.68,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
4,10.72,1:06.13,2,10.97,1:06.02,1,10.67,1:05.92,3,10.92,1:06.07,5,10.85,1:06.19,6,10.86,1:06.54,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
4,10.43,1:16.56,3,10.44,1:16.46,2,10.41,1:16.33,1,10.11,1:16.18,5,10.48,1:16.67,6,10.44,1:16.98,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
4,10.00,1:26.56,3,9.99,1:26.45,2,10.03,1:26.36,1,10.06,1:26.24,5,9.99,1:26.66,6,9.86,1:26.84,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
4,10.31,1:36.87,3,10.36,1:36.81,2,10.33,1:36.69,1,10.36,1:36.60,5,10.24,1:36.90,6,10.32,1:37.16,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
3,10.10,1:46.97,4,10.39,1:47.20,2,10.17,1:46.86,1,10.16,1:46.76,5,10.44,1:47.34,6,10.33,1:47.49,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
1,9.84,1:56.81,3,10.18,1:57.38,2,10.25,1:57.11,5,10.84,1:57.60,4,10.24,1:57.58,6,10.18,1:57.67,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
1,9.66,2:06.47,5,10.22,2:07.60,2,9.69,2:06.80,6,12.81,2:10.41,4,9.82,2:07.40,3,9.41,2:07.08,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
1,9.70,2:16.17,5,10.27,2:17.87,2,9.69,2:16.49,6,12.91,2:23.32,4,10.31,2:17.71,3,9.42,2:16.50,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
1,9.94,2:26.102,4,10.56,2:28.426,3,10.09,2:26.579,6,12.81,2:36.125,5,10.76,2:28.464,2,9.64,2:26.132,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,w,Heats,1
