START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,11.08,11.08,4,11.47,11.47,3,11.33,11.33,2,11.19,11.19,5,11.56,11.56,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
2,17.35,28.43,4,17.22,28.69,1,17.07,28.40,3,17.36,28.55,5,17.30,28.86,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
2,13.83,42.26,4,13.86,42.55,1,13.72,42.12,3,13.87,42.42,5,13.79,42.65,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
2,12.71,54.97,4,12.69,55.24,1,12.71,54.83,3,12.69,55.11,5,12.72,55.37,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
1,11.90,1:06.87,4,11.85,1:07.09,2,12.10,1:06.93,2,11.82,1:06.93,5,11.81,1:07.18,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
2,10.52,1:17.39,4,10.49,1:17.58,3,10.56,1:17.49,1,10.37,1:17.30,5,10.47,1:17.65,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
2,10.24,1:27.63,3,10.08,1:27.66,4,10.29,1:27.78,1,10.25,1:27.55,5,10.26,1:27.91,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
2,9.65,1:37.28,4,9.74,1:37.40,3,9.61,1:37.39,1,9.72,1:37.27,5,9.68,1:37.59,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
1,9.13,1:46.41,4,9.19,1:46.59,2,9.05,1:46.44,3,9.23,1:46.50,5,9.11,1:46.70,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
2,9.07,1:55.48,4,9.07,1:55.66,1,8.96,1:55.40,3,9.08,1:55.58,5,9.24,1:55.94,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
2,9.23,2:04.71,4,9.25,2:04.91,1,9.20,2:04.60,3,9.23,2:04.81,5,9.18,2:05.12,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
5,21.12,2:25.83,4,13.23,2:18.14,1,9.10,2:13.70,2,9.47,2:14.28,3,9.35,2:14.47,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
4,16.38,2:42.21,5,24.67,2:42.81,1,9.22,2:22.92,2,9.15,2:23.43,3,9.57,2:24.04,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
4,12.24,2:54.428,5,15.70,2:58.456,1,9.49,2:32.41,2,9.23,2:32.646,3,9.84,2:33.853,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Semifinals,3
