START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,10.43,10.43,3,10.13,10.13,1,9.81,9.81,4,10.28,10.28,2,10.08,10.08,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,14.85,25.29,3,14.84,24.97,1,14.89,24.70,5,15.03,25.31,2,14.86,24.94,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
3,14.23,39.53,5,14.62,39.60,1,14.57,39.28,4,14.23,39.55,2,14.48,39.42,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
5,14.32,53.85,3,14.09,53.69,1,14.14,53.42,4,14.29,53.84,2,14.15,53.58,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,13.48,1:07.34,3,13.52,1:07.22,1,13.53,1:06.96,5,13.60,1:07.45,2,13.60,1:07.19,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,11.58,1:18.92,5,20.71,1:27.94,1,11.22,1:18.18,3,11.10,1:18.55,2,11.11,1:18.30,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,11.21,1:30.13,5,11.00,1:38.94,2,11.62,1:29.81,1,11.20,1:29.76,3,11.56,1:29.87,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,11.97,1:42.11,5,10.29,1:49.24,3,11.98,1:41.79,1,11.98,1:41.74,2,11.91,1:41.78,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,10.11,1:52.22,5,10.23,1:59.48,3,10.12,1:51.91,1,10.05,1:51.80,2,10.11,1:51.90,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,10.02,2:02.25,5,10.84,2:10.32,3,10.23,2:02.15,1,10.02,2:01.82,2,10.07,2:01.97,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
3,13.32,2:15.57,4,12.04,2:22.36,2,10.26,2:12.42,5,25.91,2:27.73,1,9.71,2:11.68,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,36.51,2:52.08,3,12.13,2:34.49,2,21.80,2:34.22,5,24.55,2:52.28,1,9.75,2:21.44,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
4,18.39,3:10.47,3,11.68,2:46.18,2,11.83,2:46.05,5,20.68,3:12.96,1,10.10,2:31.55,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
0,,DQ,3,11.13,2:57.305,2,0.11,2:46.154,4,16.47,3:29.426,1,10.55,2:42.094,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(2),w,RepFinalB,1
