START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,11.960,11.960,2,12.433,12.433,3,13.055,13.055,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.570,21.529,2,9.697,22.130,3,9.757,22.811,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.720,31.249,2,9.730,31.859,3,9.978,32.788,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.904,41.153,2,9.683,41.541,3,9.721,42.509,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.660,50.813,2,9.731,51.271,3,9.491,52.000,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.870,1:00.682,2,9.502,1:00.772,3,9.202,1:01.201,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.617,1:10.299,2,9.788,1:10.560,3,9.834,1:11.035,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.584,1:19.882,2,9.938,1:20.498,3,9.983,1:21.017,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.622,1:29.504,2,9.987,1:30.484,3,9.828,1:30.844,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.571,1:39.075,2,9.862,1:40.346,3,9.846,1:40.690,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.356,1:48.431,2,9.789,1:50.135,3,9.749,1:50.438,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.718,1:58.148,2,9.587,1:59.721,3,9.462,1:59.899,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.946,2:08.094,2,10.178,2:09.899,3,10.278,2:10.177,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,9.954,2:18.048,2,10.370,2:20.269,3,10.263,2:20.439,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,10.020,2:28.067,2,10.293,2:30.561,3,10.173,2:30.612,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,10.270,2:38.337,2,10.490,2:41.051,3,10.586,2:41.198,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,10.367,2:48.703,3,10.182,2:51.233,2,9.290,2:50.488,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
1,10.32,2:59.020,3,10.04,3:01.269,2,9.97,3:00.449,2005-2006,"2006 World Junior Championships, Romania",2000MRelay,m,Heats,2
