START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,10.09,10.09,3,10.23,10.23,5,10.64,10.64,6,10.86,10.86,4,10.47,10.47,1,9.93,9.93,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
2,14.33,24.42,3,14.33,24.56,5,14.08,24.72,6,14.14,25.00,4,14.15,24.62,1,14.31,24.24,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
2,13.42,37.84,3,13.41,37.97,5,13.60,38.32,6,13.48,38.48,4,13.52,38.14,1,13.47,37.71,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
2,12.73,50.57,4,12.70,50.67,5,12.56,50.88,6,12.65,51.13,3,12.52,50.66,1,12.69,50.40,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
2,11.83,1:02.40,3,11.86,1:02.53,5,11.89,1:02.77,6,11.94,1:03.07,4,11.93,1:02.59,1,11.90,1:02.30,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
1,10.86,1:13.26,3,10.95,1:13.48,4,10.83,1:13.60,6,10.76,1:13.83,5,11.10,1:13.69,2,11.09,1:13.39,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
1,10.52,1:23.78,3,10.47,1:23.95,4,10.47,1:24.07,6,10.56,1:24.39,5,10.57,1:24.26,2,10.42,1:23.81,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
2,9.67,1:33.45,3,9.60,1:33.55,4,9.59,1:33.66,6,9.59,1:33.98,5,9.58,1:33.84,1,9.54,1:33.35,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
2,9.38,1:42.83,3,9.38,1:42.93,4,9.38,1:43.04,6,9.28,1:43.26,5,9.25,1:43.09,1,9.42,1:42.77,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
2,9.25,1:52.08,3,9.26,1:52.19,6,9.52,1:52.56,5,9.11,1:52.37,4,9.26,1:52.35,1,9.23,1:52.00,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
1,9.11,2:01.19,3,9.15,2:01.34,6,9.18,2:01.74,2,8.89,2:01.26,5,9.36,2:01.71,4,9.52,2:01.52,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
2,9.18,2:10.37,3,9.09,2:10.43,5,9.15,2:10.89,1,8.64,2:09.90,6,10.14,2:11.85,4,9.08,2:10.60,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
3,9.09,2:19.46,2,8.95,2:19.38,5,9.29,2:20.18,1,8.83,2:18.73,6,10.63,2:22.48,4,9.11,2:19.71,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
3,9.30,2:28.76,2,9.25,2:28.63,5,9.59,2:29.77,1,9.13,2:27.86,6,11.32,2:33.80,4,9.31,2:29.02,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,2
