START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,8.98,8.98,4,9.24,9.24,6,9.42,9.42,5,9.31,9.31,2,9.04,9.04,3,9.10,,7,9.50,9.50,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
2,11.68,20.66,5,11.88,21.12,6,11.81,21.23,1,11.18,20.49,3,11.78,20.82,4,11.84,,7,11.83,21.33,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
3,10.67,31.33,6,10.42,31.54,4,10.19,31.42,1,10.73,31.22,2,10.47,31.29,5,10.55,,7,10.40,31.73,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
4,9.99,41.32,1,9.63,41.17,5,10.02,41.44,3,10.02,41.24,1,9.88,41.17,5,9.95,,7,9.89,41.62,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
6,9.98,51.30,2,9.80,50.97,7,10.00,51.44,5,9.90,51.14,3,9.91,51.08,1,9.39,,4,9.51,51.13,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
6,9.31,1:00.61,3,9.43,1:00.40,7,9.36,1:00.80,5,9.42,1:00.56,4,9.43,1:00.51,2,9.45,,1,8.99,1:00.12,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
6,9.29,1:09.90,4,9.38,1:09.78,7,9.31,1:10.11,2,9.05,1:09.61,5,9.28,1:09.79,3,9.35,,1,9.42,1:09.54,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
2,8.90,1:18.80,6,9.30,1:19.08,7,9.05,1:19.16,4,9.29,1:18.90,1,8.93,1:18.72,5,9.38,,3,9.27,1:18.81,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
2,9.05,1:27.85,4,9.06,1:28.14,6,9.14,1:28.30,5,9.33,1:28.23,1,9.02,1:27.74,7,9.48,,3,9.11,1:27.92,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
2,9.12,1:36.97,4,9.05,1:37.19,5,9.03,1:37.33,6,19.09,1:47.32,1,9.10,1:36.84,7,29.43,,3,9.20,1:37.12,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
2,9.00,1:45.97,3,9.03,1:46.22,5,9.17,1:46.50,6,11.25,1:58.57,1,9.01,1:45.85,7,15.81,,4,9.31,1:46.43,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
2,8.82,1:54.79,3,8.82,1:55.04,4,8.83,1:55.33,6,10.75,2:09.32,1,8.88,1:54.73,7,11.98,,5,9.73,1:56.16,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
1,8.75,2:03.54,3,8.74,2:03.78,4,8.77,2:04.10,6,10.86,2:20.18,2,8.91,2:03.64,7,10.15,,5,10.14,2:06.30,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
1,9.13,2:12.67,5,15.30,2:19.085,3,8.97,2:13.07,6,13.41,2:33.59,2,9.10,2:12.74,7,14.04,,4,10.56,2:16.86,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Semifinals,1
