START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,8.337,8.337,2,8.188,8.188,3,8.273,8.273,1,7.886,7.886,5,8.525,8.525,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
3,10.637,18.974,4,10.833,19.021,2,10.637,18.910,1,10.830,18.716,5,10.706,19.230,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
4,10.622,29.596,3,10.307,29.328,2,10.323,29.232,1,10.180,28.895,5,10.428,29.658,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
4,10.198,39.794,3,10.265,39.593,2,10.238,39.469,1,10.490,39.385,5,10.155,39.813,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,10.001,49.794,1,9.846,49.439,3,10.198,49.667,2,10.149,49.533,4,9.901,49.714,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,10.398,1:00.191,2,10.389,59.827,3,10.403,1:00.070,1,10.245,59.778,4,10.403,1:00.116,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,10.513,1:10.704,2,10.428,1:10.255,3,10.358,1:10.427,1,10.272,1:10.049,4,10.396,1:10.512,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,10.483,1:21.186,2,10.542,1:20.797,3,10.506,1:20.933,1,10.656,1:20.704,4,10.568,1:21.080,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,10.192,1:31.377,2,10.115,1:30.911,4,10.309,1:31.242,3,10.391,1:31.095,1,9.796,1:30.875,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,9.792,1:41.168,2,9.784,1:40.695,4,9.700,1:40.941,3,9.738,1:40.833,1,9.762,1:40.637,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,10.307,1:51.474,2,9.763,1:50.458,3,9.660,1:50.600,4,10.154,1:50.987,1,9.700,1:50.336,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,10.731,2:02.205,2,9.684,2:00.141,3,9.644,2:00.244,4,9.747,2:00.733,1,9.673,2:00.009,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,11.118,2:13.323,2,9.635,2:09.775,3,9.728,2:09.971,4,10.167,2:10.899,1,9.583,2:09.591,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
5,11.68,2:25.003,3,9.73,2:19.502,2,9.47,2:19.441,4,10.30,2:21.191,1,9.74,2:19.331,2004-2005,"2004 World Cup 2, China, Beijing",1500M,m,Heats,2
