START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
4,8.85,8.85,2,8.73,8.73,3,8.79,8.79,1,8.71,8.71,7,9.39,9.39,6,9.20,9.20,5,9.07,9.07,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
4,12.06,20.91,2,12.08,20.81,2,12.02,20.81,1,11.98,20.69,7,11.92,21.31,6,11.93,21.13,5,11.95,21.02,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
5,11.62,32.53,2,11.51,32.32,1,11.42,32.23,3,11.73,32.42,7,11.50,32.81,6,11.50,32.63,4,11.42,32.44,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
5,10.83,43.36,3,10.91,43.23,2,10.89,43.12,4,10.89,43.31,7,10.77,43.58,6,10.77,43.40,1,10.55,42.99,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.82,53.18,5,10.24,53.47,2,10.20,53.32,4,10.10,53.41,7,10.22,53.80,6,10.19,53.59,3,10.39,53.38,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
2,9.90,1:03.08,4,9.87,1:03.34,3,9.91,1:03.23,1,9.54,1:02.95,7,9.81,1:03.61,6,9.90,1:03.49,5,10.03,1:03.41,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
2,10.03,1:13.11,4,9.94,1:13.28,2,9.88,1:13.11,1,10.08,1:13.03,7,9.80,1:13.41,5,9.80,1:13.29,6,9.98,1:13.39,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
2,9.58,1:22.69,6,9.83,1:23.11,1,9.50,1:22.61,3,9.74,1:22.77,5,9.58,1:22.99,4,9.58,1:22.87,7,9.82,1:23.21,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
3,9.59,1:32.28,6,9.54,1:32.65,1,9.60,1:32.21,2,9.47,1:32.24,5,9.55,1:32.54,4,9.55,1:32.42,7,9.55,1:32.76,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
3,9.26,1:41.54,5,9.09,1:41.74,2,9.24,1:41.45,1,9.06,1:41.30,6,9.22,1:41.76,4,9.14,1:41.56,7,9.15,1:41.91,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
4,9.15,1:50.69,7,9.91,1:51.65,2,9.01,1:50.46,1,9.04,1:50.34,6,9.05,1:50.81,3,9.01,1:50.57,5,8.86,1:50.77,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
4,8.91,1:59.60,7,10.06,2:01.71,2,8.97,1:59.43,1,8.91,1:59.25,5,8.90,1:59.71,3,8.94,1:59.51,6,8.99,1:59.76,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
4,8.92,2:08.52,7,11.05,2:12.76,2,8.91,2:08.34,1,8.95,2:08.20,6,9.07,2:08.78,3,8.92,2:08.43,5,8.87,2:08.63,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
4,8.99,2:17.51,7,12.44,2:25.207,2,8.88,2:17.22,1,8.95,2:17.15,6,8.93,2:17.719,3,8.96,2:17.39,5,8.96,2:17.59,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Semifinals,2
