START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.30,8.30,2,8.56,8.56,4,8.78,8.78,3,8.73,8.73,5,8.84,8.84,6,9.32,9.32,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
1,12.20,20.50,3,12.51,21.07,4,12.30,21.08,5,12.43,21.16,2,12.08,20.92,6,12.27,21.59,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
1,10.99,31.49,4,10.72,31.79,2,10.52,31.60,5,10.66,31.82,3,10.76,31.68,6,10.50,32.09,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
1,9.53,41.02,4,9.67,41.46,2,9.63,41.23,5,9.68,41.50,3,9.60,41.28,6,9.60,41.69,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
1,9.54,50.56,5,9.61,51.07,3,9.58,50.81,4,9.44,50.94,2,9.44,50.72,6,9.59,51.28,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
1,9.44,1:00.00,5,9.54,1:00.61,3,9.51,1:00.32,4,9.59,1:00.53,2,9.40,1:00.12,6,9.55,1:00.83,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
1,9.99,1:09.99,4,9.65,1:10.26,3,9.85,1:10.17,6,9.89,1:10.42,2,9.96,1:10.08,5,9.47,1:10.30,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
1,9.50,1:19.49,4,9.48,1:19.74,3,9.49,1:19.66,5,9.43,1:19.85,2,9.50,1:19.58,6,9.66,1:19.96,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
1,9.41,1:28.90,4,9.40,1:29.14,3,9.42,1:29.08,5,9.42,1:29.27,2,9.41,1:28.99,6,9.41,1:29.37,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
2,9.28,1:38.18,4,9.19,1:38.33,3,9.18,1:38.26,5,9.22,1:38.49,1,9.10,1:38.09,6,9.22,1:38.59,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
2,9.27,1:47.45,3,9.20,1:47.53,5,9.35,1:47.61,4,9.12,1:47.61,1,9.27,1:47.36,6,9.13,1:47.72,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
3,9.39,1:56.84,2,9.19,1:56.72,5,9.43,1:57.04,4,9.26,1:56.87,1,9.26,1:56.62,6,9.34,1:57.06,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
4,9.34,2:06.18,2,9.30,2:06.02,6,9.64,2:06.68,3,9.31,2:06.18,1,9.31,2:05.93,5,9.28,2:06.34,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
5,9.46,2:15.636,2,9.54,2:15.556,6,10.60,2:17.280,4,9.45,2:15.623,1,9.54,2:15.462,3,9.23,2:15.561,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Quarterfinals,2
