START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.34,8.34,4,8.46,8.46,5,8.58,8.58,1,8.23,,2,8.31,8.31,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
3,10.43,18.77,4,10.44,18.90,5,10.47,19.05,1,10.32,,2,10.34,18.65,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
3,9.63,28.40,4,9.60,28.50,5,9.57,28.62,1,9.65,,2,9.61,28.26,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
3,9.43,37.83,4,9.44,37.94,5,9.46,38.08,1,9.43,,2,9.46,37.72,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
3,9.47,47.30,4,9.46,47.40,5,9.45,47.53,1,9.48,,2,9.45,47.17,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
3,9.74,57.04,4,9.74,57.14,5,9.72,57.25,1,9.67,,2,9.72,56.89,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
4,9.77,1:06.81,5,9.75,1:06.89,3,9.55,1:06.80,1,9.80,,2,9.79,1:06.68,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
5,9.93,1:16.74,4,9.71,1:16.60,3,9.63,1:16.43,1,9.78,,2,9.73,1:16.41,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
5,9.69,1:26.43,2,9.54,1:26.14,4,9.87,1:26.30,3,9.91,,1,9.54,1:25.95,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
4,9.45,1:35.88,1,9.29,1:35.43,3,9.21,1:35.51,5,10.24,,2,9.50,1:35.45,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
4,9.81,1:45.69,2,9.04,1:44.47,1,8.91,1:44.42,5,19.77,,3,9.27,1:44.72,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
4,10.42,1:56.11,2,9.30,1:53.77,1,9.26,1:53.68,5,25.91,,3,9.25,1:53.97,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
4,11.00,2:07.11,2,9.56,2:03.33,1,9.54,2:03.22,5,13.03,,3,9.55,2:03.52,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
4,10.75,2:17.831,1,9.58,2:12.885,2,9.72,2:12.926,5,17.99,,3,10.45,2:13.949,2015-2016,ISU Shanghai Trophy 2016,1500m,m,Heats,1
