START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,9.15,9.15,2,8.68,8.68,4,9.02,9.02,3,8.81,8.81,1,8.54,8.54,6,9.26,9.26,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
5,13.89,23.04,2,13.93,22.61,4,13.86,22.88,3,13.90,22.71,1,13.92,22.46,6,13.86,23.12,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
5,14.16,37.20,2,14.15,36.76,4,14.20,37.08,3,14.18,36.89,1,14.19,36.65,6,14.14,37.26,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
4,13.95,51.15,2,14.12,50.88,5,14.20,51.28,3,14.11,51.00,1,14.10,50.75,6,14.15,51.41,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
5,13.06,1:04.21,1,13.02,1:03.90,4,12.74,1:04.02,6,13.32,1:04.32,3,13.26,1:04.01,2,12.54,1:03.95,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
5,10.70,1:14.91,1,10.51,1:14.41,3,10.64,1:14.66,6,10.69,1:15.01,4,10.80,1:14.81,2,10.56,1:14.51,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
5,10.50,1:25.41,1,10.59,1:25.00,3,10.55,1:25.21,6,10.52,1:25.53,4,10.50,1:25.31,2,10.57,1:25.08,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
6,10.68,1:36.09,1,10.77,1:35.77,5,10.79,1:36.00,4,10.44,1:35.97,3,10.65,1:35.96,2,10.78,1:35.86,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
6,10.25,1:46.34,1,10.18,1:45.95,4,10.22,1:46.22,5,10.26,1:46.23,2,10.06,1:46.02,3,10.25,1:46.11,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
6,10.02,1:56.36,2,10.05,1:56.00,1,9.67,1:55.89,5,10.06,1:56.29,4,10.13,1:56.15,3,10.03,1:56.14,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
4,9.38,2:05.74,3,9.39,2:05.39,1,9.28,2:05.17,6,9.70,2:05.99,5,9.69,2:05.84,2,9.14,2:05.28,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
4,9.28,2:15.02,3,9.36,2:14.75,1,9.32,2:14.49,5,9.62,2:15.61,6,10.05,2:15.89,2,9.28,2:14.56,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
4,9.23,2:24.25,3,9.47,2:24.22,2,9.51,2:24.00,5,10.22,2:25.83,6,10.57,2:26.46,1,9.22,2:23.78,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
3,9.26,2:33.510,4,9.69,2:33.907,2,9.51,2:33.510,5,10.77,2:36.595,6,11.41,2:37.863,1,9.52,2:33.296,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,m,Heats,7
