START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,9.67,9.67,3,9.75,9.75,4,9.84,,1,9.36,9.36,6,10.02,,7,10.22,10.22,5,9.91,9.91,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
4,13.36,23.03,5,13.46,23.21,2,12.95,,1,13.31,22.67,3,12.93,,7,13.19,23.41,6,13.38,23.29,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
5,12.87,35.90,6,12.77,35.98,1,12.61,,2,12.82,35.49,4,12.74,,7,12.68,36.09,3,12.21,35.50,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
5,11.41,47.31,6,11.50,47.48,2,11.56,,4,11.69,47.18,3,11.34,,7,11.51,47.60,1,11.36,46.86,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
5,11.10,58.41,6,10.94,58.42,2,11.16,,4,11.14,58.32,3,11.13,,7,11.05,58.65,1,11.24,58.10,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
2,9.92,1:08.33,1,9.89,1:08.31,3,10.32,,6,10.47,1:08.79,5,10.48,,7,10.25,1:08.90,4,10.44,1:08.54,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
1,9.90,1:18.23,2,9.97,1:18.28,3,9.96,,6,9.86,1:18.65,4,9.79,,7,9.84,1:18.74,5,10.00,1:18.54,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
1,10.06,1:28.29,2,10.05,1:28.33,3,10.10,,6,10.19,1:28.84,5,10.31,,7,10.26,1:29.00,4,10.07,1:28.61,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
3,10.14,1:38.43,1,9.89,1:38.22,2,9.82,,6,9.95,1:38.79,5,9.96,,7,9.86,1:38.86,4,9.97,1:38.58,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
3,9.57,1:48.00,2,9.67,1:47.89,1,9.50,,6,9.57,1:48.36,5,9.51,,7,9.67,1:48.53,4,9.57,1:48.15,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
2,9.09,1:57.09,1,9.10,1:56.99,3,9.31,,6,9.17,1:57.53,5,9.19,,7,9.10,1:57.63,4,9.17,1:57.32,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
7,32.91,2:30.00,1,8.97,2:05.96,6,11.54,,5,9.00,2:06.53,3,8.87,,4,8.84,2:06.47,2,8.92,2:06.24,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
7,15.71,2:45.71,1,8.95,2:14.91,6,11.05,,4,9.16,2:15.69,2,9.25,,3,9.15,2:15.62,5,9.57,2:15.81,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
5,14.92,3:00.634,1,9.52,2:24.431,6,12.31,,3,9.32,2:25.010,2,9.34,,2,9.34,2:24.964,4,9.28,2:25.093,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,3
