START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.25,9.25,3,9.39,9.39,4,9.57,9.57,6,9.69,9.69,5,9.63,9.63,1,9.15,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
2,11.71,20.96,1,11.43,20.82,5,11.79,21.36,6,11.79,21.48,4,11.55,21.18,3,11.84,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
3,10.94,31.90,2,10.95,31.77,5,10.85,32.21,6,10.81,32.29,4,10.84,32.02,1,10.69,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
3,10.80,42.70,2,10.92,42.69,6,10.89,43.10,5,10.69,42.98,4,10.85,42.87,1,10.90,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,10.51,53.21,3,10.68,53.37,5,10.50,53.60,6,10.65,53.63,4,10.63,53.50,2,10.64,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,10.41,1:03.62,3,10.51,1:03.88,5,10.50,1:04.10,6,10.58,1:04.21,4,10.49,1:03.99,2,10.56,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,10.64,1:14.26,3,10.60,1:14.48,4,10.50,1:14.60,6,10.65,1:14.86,5,10.73,1:14.72,2,10.62,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,10.47,1:24.73,3,10.33,1:24.81,4,10.43,1:25.03,6,10.40,1:25.26,5,10.41,1:25.13,1,10.33,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
3,9.62,1:34.35,1,9.32,1:34.13,4,9.45,1:34.48,6,9.46,1:34.72,5,9.44,1:34.57,2,9.54,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,9.19,1:43.54,6,10.14,1:44.27,3,9.23,1:43.71,5,9.25,1:43.97,4,9.25,1:43.82,2,9.39,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,9.15,1:52.69,6,15.78,2:00.05,3,9.21,1:52.92,5,9.32,1:53.29,4,9.29,1:53.11,2,9.13,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,9.13,2:01.82,6,15.91,2:15.96,3,9.13,2:02.05,5,9.33,2:02.62,4,9.38,2:02.49,2,9.16,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,9.01,2:10.83,6,13.00,2:28.96,3,9.22,2:11.27,4,9.54,2:12.16,5,9.69,2:12.18,2,9.21,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
1,9.11,2:19.94,6,11.98,2:40.94,3,9.35,2:20.62,4,9.78,2:21.94,4,10.14,2:22.323,2,9.36,,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Rep.Quarterfinals,3
