START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
0,11.089,11.089,0,11.153,11.153,0,11.051,11.051,0,25.167,25.167,0,,,0,11.140,11.140,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,14.271,25.360,0,14.393,25.545,0,14.091,25.142,0,,,0,,,0,13.949,25.089,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,13.458,38.818,0,13.358,38.903,0,13.269,38.411,0,,38.532,0,,,0,13.974,39.063,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,12.100,50.918,0,12.036,50.940,0,12.056,50.467,0,11.873,50.404,0,,,0,11.595,50.658,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,11.817,1:02.735,0,12.135,1:03.075,0,12.030,1:02.497,0,12.353,1:02.757,0,,,0,12.162,1:02.820,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,12.323,1:15.058,0,12.012,1:15.087,0,12.019,1:14.516,0,11.918,1:14.675,0,,,0,11.987,1:14.807,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,10.547,1:25.605,0,10.864,1:25.951,0,10.698,1:25.214,0,10.627,1:25.301,0,,,0,10.476,1:25.283,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,10.571,1:36.176,0,10.556,1:36.507,0,10.682,1:35.896,0,10.856,1:36.157,0,,,0,10.872,1:36.155,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,10.512,1:46.688,0,10.418,1:46.925,0,10.414,1:46.310,0,10.328,1:46.484,0,,,0,10.238,1:46.393,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,10.525,1:57.213,0,10.858,1:57.783,0,10.311,1:56.621,0,10.570,1:57.054,0,,,0,10.553,1:56.945,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,10.033,2:07.247,0,10.968,2:08.751,0,10.425,2:07.045,0,10.614,2:07.668,0,,,0,10.308,2:07.253,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,10.608,2:17.854,0,11.169,2:19.920,0,10.630,2:17.676,0,11.176,2:18.844,0,,,0,10.552,2:17.804,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,9.776,2:27.631,0,11.235,2:31.154,0,10.599,2:28.275,0,11.541,2:30.385,0,,,0,10.817,2:28.621,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
0,,,0,,,0,,,0,,,0,,,0,,,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,2
