START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.06,9.06,1,8.67,8.67,5,9.18,9.18,2,8.88,8.88,6,9.21,9.21,3,8.91,8.91,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
5,12.73,21.79,1,12.66,21.33,6,12.68,21.86,4,12.82,21.70,2,12.24,21.45,3,12.67,21.58,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
5,12.12,33.91,1,12.07,33.40,6,12.16,34.02,4,12.05,33.75,2,12.06,33.51,3,12.07,33.65,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
5,11.50,45.41,1,11.61,45.01,6,11.51,45.53,4,11.56,45.31,2,11.60,45.11,3,11.58,45.23,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
4,11.33,56.74,1,11.39,56.40,6,11.41,56.94,5,11.45,56.76,2,11.42,56.53,3,11.43,56.66,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
1,10.46,1:07.20,2,10.88,1:07.28,6,10.64,1:07.58,5,10.72,1:07.48,3,10.82,1:07.35,4,10.76,1:07.42,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
2,10.76,1:17.96,1,10.67,1:17.95,6,10.86,1:18.44,5,10.82,1:18.30,3,10.76,1:18.11,4,10.73,1:18.15,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
3,9.99,1:27.95,1,9.90,1:27.85,6,9.80,1:28.24,4,9.72,1:28.02,5,9.97,1:28.08,2,9.77,1:27.92,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
2,9.71,1:37.66,1,9.66,1:37.51,6,9.94,1:38.18,3,9.74,1:37.76,4,9.79,1:37.87,5,10.08,1:38.00,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
2,9.53,1:47.19,1,9.58,1:47.09,6,9.63,1:47.81,3,9.54,1:47.30,4,9.52,1:47.39,5,9.49,1:47.49,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
2,9.53,1:56.72,1,9.55,1:56.64,6,9.46,1:57.27,4,9.60,1:56.90,3,9.44,1:56.83,5,9.53,1:57.02,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
2,9.54,2:06.26,1,9.52,2:06.16,6,9.63,2:06.90,3,9.39,2:06.29,4,9.58,2:06.41,5,9.66,2:06.68,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
3,9.63,2:15.89,2,9.64,2:15.80,6,9.82,2:16.72,1,9.41,2:15.70,4,9.49,2:15.90,5,9.61,2:16.29,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
3,9.75,2:25.632,4,9.99,2:25.791,6,10.12,2:26.835,2,9.31,2:25.004,1,9.07,2:24.969,5,9.71,2:25.998,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepSemifinals,1
