START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,12.34,12.34,4,12.22,12.22,6,12.57,12.57,3,12.11,12.11,1,11.78,11.78,2,11.94,11.94,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
5,16.36,28.70,4,16.33,28.55,6,16.29,28.86,3,16.23,28.34,1,16.19,27.97,2,16.23,28.17,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
5,14.17,42.87,4,14.23,42.78,6,14.17,43.03,3,14.25,42.59,1,14.33,42.30,2,14.28,42.45,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
5,13.32,56.19,4,13.29,56.07,6,13.28,56.31,3,13.35,55.94,1,13.36,55.66,2,13.37,55.82,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
5,12.84,1:09.03,4,12.86,1:08.93,6,12.79,1:09.10,3,12.82,1:08.76,1,12.80,1:08.46,2,12.81,1:08.63,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
6,12.50,1:21.53,5,12.49,1:21.42,3,12.08,1:21.18,4,12.44,1:21.20,2,12.63,1:21.09,1,12.45,1:21.08,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
5,10.75,1:32.28,3,10.74,1:32.16,2,10.97,1:32.15,4,11.03,1:32.23,6,11.27,1:32.36,1,10.97,1:32.05,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
2,10.31,1:42.59,1,10.34,1:42.50,4,10.61,1:42.76,5,10.64,1:42.87,6,10.69,1:43.05,3,10.65,1:42.70,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
2,10.92,1:53.51,1,10.93,1:53.43,3,10.83,1:53.59,5,10.83,1:53.70,6,10.78,1:53.83,4,10.90,1:53.60,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
3,10.09,2:03.60,2,10.08,2:03.51,1,9.75,2:03.34,5,10.14,2:03.84,6,10.76,2:04.59,4,10.14,2:03.74,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
3,9.59,2:13.19,2,9.61,2:13.12,1,9.68,2:13.02,5,9.67,2:13.51,6,10.76,2:15.35,4,9.61,2:13.35,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
3,9.80,2:22.99,2,9.80,2:22.92,1,9.77,2:22.79,5,9.74,2:23.25,6,11.07,2:26.42,4,9.75,2:23.10,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
2,9.59,2:32.58,1,9.65,2:32.57,2,9.79,2:32.58,5,9.80,2:33.05,6,11.47,2:37.89,4,9.69,2:32.79,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
2,9.76,2:42.34,1,9.56,2:42.13,0,,PHOTO,5,10.18,2:43.23,6,11.75,2:49.64,0,,PHOTO,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Heats,5
