START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.72,8.72,1,8.49,8.49,2,8.59,8.59,6,9.44,9.44,5,9.20,9.20,4,9.01,9.01,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
3,12.53,21.25,1,12.51,21.00,2,12.52,21.11,6,12.23,21.67,5,12.41,21.61,4,12.44,21.45,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
3,12.19,33.44,1,12.21,33.21,2,12.23,33.34,6,12.20,33.87,5,12.15,33.76,4,12.15,33.60,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
3,12.05,45.49,1,12.07,45.28,2,12.06,45.40,6,12.02,45.89,5,12.03,45.79,4,12.01,45.61,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
1,11.23,56.72,2,11.55,56.83,3,11.52,56.92,6,11.54,57.43,5,11.52,57.31,4,11.52,57.13,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
1,10.89,1:07.61,2,10.80,1:07.63,3,10.81,1:07.73,6,10.75,1:08.18,5,10.76,1:08.07,4,10.80,1:07.93,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
2,10.56,1:18.17,1,10.45,1:18.08,3,10.50,1:18.23,6,10.51,1:18.69,5,10.53,1:18.60,4,10.51,1:18.44,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
2,10.17,1:28.34,1,10.16,1:28.24,3,10.18,1:28.41,6,9.91,1:28.60,5,9.91,1:28.51,4,10.06,1:28.50,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
2,9.74,1:38.08,1,9.76,1:38.00,5,9.91,1:38.32,6,9.90,1:38.50,3,9.64,1:38.15,4,9.74,1:38.24,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
2,9.81,1:47.89,3,9.95,1:47.95,5,9.84,1:48.16,6,9.81,1:48.31,1,9.57,1:47.72,4,9.82,1:48.06,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
2,9.63,1:57.52,4,9.99,1:57.94,5,9.86,1:58.02,6,9.76,1:58.07,1,9.72,1:57.44,3,9.63,1:57.69,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
3,10.08,2:07.60,4,10.18,2:08.12,5,24.69,2:22.71,6,35.37,2:33.44,1,9.92,2:07.36,2,9.84,2:07.53,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
3,10.45,2:18.05,4,10.46,2:18.58,5,16.13,2:38.84,6,24.67,2:58.11,1,9.64,2:17.00,2,9.84,2:17.37,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
3,10.58,2:28.624,4,10.78,2:29.358,5,13.85,2:52.686,6,18.53,3:16.637,1,10.08,2:27.077,2,10.25,2:27.615,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(2),w,Heats,1
