START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,7.80,7.80,4,7.95,7.95,3,7.88,7.88,6,8.18,8.18,2,7.84,7.84,5,8.04,8.04,7,8.31,8.31,8,8.38,8.38,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
1,10.71,18.51,4,10.85,18.80,2,10.70,18.58,6,10.83,19.01,3,10.85,18.69,5,10.89,18.93,7,10.80,19.11,8,10.81,19.19,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
1,10.38,28.89,3,10.25,29.05,4,10.47,29.05,6,10.19,29.20,2,10.29,28.98,5,10.19,29.12,8,10.38,29.49,7,10.10,29.29,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
1,10.19,39.08,4,10.27,39.32,2,10.05,39.10,7,10.30,39.50,3,10.20,39.18,6,10.31,39.43,8,10.22,39.71,5,10.12,39.41,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
2,9.72,48.80,4,9.68,49.00,1,9.52,48.62,7,9.84,49.34,3,9.73,48.91,6,9.79,49.22,8,9.74,49.45,5,9.70,49.11,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
2,9.49,58.29,4,9.54,58.54,1,9.64,58.26,7,9.47,58.81,3,9.51,58.42,6,9.43,58.65,8,9.53,58.98,5,9.54,58.65,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
1,9.35,1:07.64,5,9.39,1:07.93,4,9.64,1:07.90,7,9.20,1:08.01,3,9.31,1:07.73,2,9.01,1:07.66,8,9.42,1:08.40,6,9.31,1:07.96,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
2,9.41,1:17.05,4,9.28,1:17.21,6,9.71,1:17.61,7,9.62,1:17.63,3,9.40,1:17.13,1,9.34,1:17.00,8,9.62,1:18.02,5,9.30,1:17.26,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
2,9.59,1:26.64,7,10.22,1:27.43,6,9.74,1:27.35,5,9.34,1:26.97,3,9.61,1:26.74,1,9.55,1:26.55,8,9.94,1:27.96,4,9.59,1:26.85,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
2,9.58,1:36.22,6,9.50,1:36.93,7,9.96,1:37.31,5,9.58,1:36.55,3,9.49,1:36.23,1,9.56,1:36.11,8,10.33,1:38.29,4,9.53,1:36.38,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
2,9.50,1:45.72,6,9.56,1:46.49,7,10.26,1:47.57,5,9.61,1:46.16,4,9.87,1:46.10,1,9.46,1:45.57,8,10.77,1:49.06,3,9.46,1:45.84,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
2,9.36,1:55.08,6,9.76,1:56.25,7,10.75,1:58.32,5,9.77,1:55.93,4,9.56,1:55.66,1,9.43,1:55.00,8,11.18,2:00.24,3,9.58,1:55.42,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
1,9.35,2:04.43,6,9.93,2:06.18,7,11.10,2:09.42,5,9.68,2:05.61,4,9.60,2:05.26,2,9.90,2:04.90,8,11.61,2:11.85,3,9.80,2:05.22,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
0,,PEN,5,10.17,2:16.347,6,11.22,2:20.636,4,9.84,2:15.448,2,9.81,2:15.070,1,10.06,2:14.952,7,11.69,2:23.533,3,9.98,2:15.199,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepSemifinals,2
