START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,8.76,8.76,5,8.62,8.62,2,8.41,8.41,4,8.55,8.55,1,8.33,8.33,3,8.52,8.52,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
6,12.02,20.78,5,12.00,20.62,4,12.06,20.47,1,11.51,20.06,3,12.01,20.34,2,11.65,20.17,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
6,10.93,31.71,5,10.98,31.60,4,11.03,31.50,1,11.16,31.22,3,11.06,31.40,2,11.12,31.29,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
4,10.87,42.58,6,11.17,42.77,1,10.81,42.31,2,11.22,42.44,5,11.24,42.64,3,11.25,42.54,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
1,10.04,52.62,6,10.48,53.25,2,10.45,52.76,4,10.40,52.84,5,10.51,53.15,3,10.27,52.81,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
1,10.19,1:02.81,6,10.14,1:03.39,3,10.25,1:03.01,4,10.28,1:03.12,5,10.15,1:03.30,2,10.07,1:02.88,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
1,10.45,1:13.26,6,10.39,1:13.78,3,10.43,1:13.44,4,10.45,1:13.57,5,10.36,1:13.66,2,10.47,1:13.35,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
1,10.42,1:23.68,4,10.23,1:24.01,2,10.30,1:23.74,5,10.54,1:24.11,6,10.59,1:24.25,3,10.43,1:23.78,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
2,9.88,1:33.56,5,9.89,1:33.90,1,9.72,1:33.46,6,9.87,1:33.98,4,9.63,1:33.88,3,9.86,1:33.64,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
3,9.74,1:43.30,6,9.90,1:43.80,2,9.73,1:43.19,5,9.66,1:43.64,1,9.23,1:43.11,4,9.76,1:43.40,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
3,9.38,1:52.68,6,9.85,1:53.65,2,9.36,1:52.55,5,9.41,1:53.05,1,9.13,1:52.24,4,9.55,1:52.95,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
3,9.49,2:02.17,6,10.11,2:03.76,2,9.50,2:02.05,5,9.69,2:02.74,1,9.38,2:01.62,4,9.67,2:02.62,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
3,9.67,2:11.84,6,10.36,2:14.12,2,9.66,2:11.71,4,9.89,2:12.63,1,9.54,2:11.16,5,10.05,2:12.67,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
3,9.89,2:21.721,6,10.96,2:25.072,2,9.90,2:21.602,4,10.23,2:22.856,1,9.95,2:21.109,5,10.83,2:23.496,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,9
