START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.45,9.45,3,9.72,9.72,5,9.85,9.85,6,10.11,10.11,2,9.60,9.60,4,9.80,9.80,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
1,14.20,23.65,4,14.21,23.93,3,14.01,23.86,6,14.16,24.27,2,14.16,23.76,5,14.27,24.07,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
1,12.56,36.21,4,12.55,36.48,3,12.52,36.38,6,12.58,36.85,2,12.54,36.30,5,12.58,36.65,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
1,12.27,48.48,4,12.41,48.89,3,12.36,48.74,6,12.33,49.18,2,12.31,48.61,5,12.36,49.01,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
1,11.47,59.95,5,11.44,1:00.33,3,11.45,1:00.19,6,11.44,1:00.62,2,11.47,1:00.08,4,11.32,1:00.33,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
2,10.44,1:10.39,5,10.43,1:10.76,4,10.42,1:10.61,6,10.34,1:10.96,3,10.41,1:10.49,1,9.98,1:10.31,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
2,10.18,1:20.57,5,10.11,1:20.87,4,10.16,1:20.77,6,10.11,1:21.07,3,10.17,1:20.66,1,10.16,1:20.47,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
3,10.39,1:30.96,5,10.38,1:31.25,1,9.96,1:30.73,6,10.41,1:31.48,4,10.45,1:31.11,2,10.39,1:30.86,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
3,9.59,1:40.55,5,9.65,1:40.90,1,9.75,1:40.48,6,10.05,1:41.53,4,9.68,1:40.79,2,9.69,1:40.55,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
2,9.40,1:49.95,4,9.38,1:50.28,1,9.37,1:49.85,6,10.25,1:51.78,5,9.60,1:50.39,3,9.66,1:50.21,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
2,9.44,1:59.39,4,9.33,1:59.61,1,9.46,1:59.31,6,10.55,2:02.33,5,9.78,2:00.17,3,9.26,1:59.47,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
1,9.56,2:08.95,4,9.67,2:09.28,2,9.70,2:09.01,6,11.16,2:13.49,5,10.22,2:10.39,3,9.61,2:09.08,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
1,9.45,2:18.40,4,9.84,2:19.12,3,9.84,2:18.85,6,11.63,2:25.12,5,10.61,2:21.00,2,9.46,2:18.54,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
1,9.28,2:27.679,4,10.34,2:29.454,3,9.84,2:28.687,6,11.81,2:36.927,5,10.87,2:31.867,2,9.56,2:28.093,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Heats,1
