START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,7.882,7.882,5,8.269,8.269,2,8.046,8.046,4,8.161,8.161,3,8.158,8.158,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
1,11.510,19.391,5,11.568,19.836,2,11.461,19.507,3,11.494,19.655,4,11.658,19.815,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
1,10.552,29.943,5,10.337,30.173,2,10.451,29.957,4,10.475,30.129,3,10.252,30.067,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
1,11.091,41.034,3,10.906,41.079,2,11.098,41.055,4,11.034,41.163,5,11.169,41.236,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
3,9.904,50.937,2,9.790,50.869,4,9.927,50.982,1,9.654,50.817,5,9.781,51.016,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
2,9.811,1:00.747,4,9.979,1:00.847,5,9.934,1:00.915,3,9.934,1:00.750,1,9.659,1:00.675,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
4,10.055,1:10.802,5,10.044,1:10.890,2,9.790,1:10.704,1,9.686,1:10.435,3,10.104,1:10.779,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
4,9.808,1:20.609,3,9.707,1:20.597,5,9.984,1:20.688,2,10.037,1:20.471,1,9.657,1:20.436,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
4,9.917,1:30.526,2,9.621,1:30.217,5,9.928,1:30.615,1,9.741,1:30.212,3,9.974,1:30.409,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
4,9.784,1:40.309,3,9.997,1:40.214,2,9.592,1:40.207,1,9.919,1:40.131,5,11.345,1:41.754,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
2,9.952,1:50.260,3,10.247,1:50.460,4,10.355,1:50.561,1,10.046,1:50.177,5,10.556,1:52.309,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
2,9.639,1:59.899,3,9.626,2:00.085,4,10.115,2:00.676,1,9.508,1:59.684,5,11.520,2:03.828,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
1,9.494,2:09.393,3,9.755,2:09.840,4,10.930,2:11.605,2,9.738,2:09.422,5,12.410,2:16.238,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
2,9.92,2:19.310,3,10.52,2:20.353,4,12.43,2:24.031,1,9.78,2:19.199,5,14.26,2:30.498,2005-2006,"2005 World Cup 3, Italy",1500M,m,QuarterFinals,8
