START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.77,8.77,2,8.67,8.67,5,8.92,8.92,4,8.88,8.88,6,9.08,9.08,1,8.56,8.56,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
4,12.17,20.94,2,12.07,20.74,1,11.68,20.60,5,12.18,21.06,6,12.15,21.23,3,12.30,20.86,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
4,11.68,32.62,2,11.67,32.41,1,11.49,32.09,5,11.69,32.75,6,11.65,32.88,3,11.68,32.54,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
5,11.10,43.72,3,11.05,43.46,1,11.33,43.42,6,11.11,43.86,2,10.56,43.44,4,11.06,43.60,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
4,8.62,52.34,2,8.72,52.18,3,8.84,52.26,6,8.63,52.49,1,8.66,52.10,5,8.79,52.39,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
4,9.70,1:02.04,2,9.71,1:01.89,3,9.71,1:01.97,6,9.75,1:02.24,1,9.72,1:01.82,5,9.77,1:02.16,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
4,9.97,1:12.01,1,9.81,1:11.70,3,9.94,1:11.91,6,9.98,1:12.22,2,9.99,1:11.81,5,9.97,1:12.13,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
4,9.81,1:21.82,1,9.80,1:21.50,3,9.81,1:21.72,5,9.73,1:21.95,2,9.80,1:21.61,6,9.92,1:22.05,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
4,9.48,1:31.30,2,9.53,1:31.03,3,9.46,1:31.18,5,9.50,1:31.45,1,9.29,1:30.90,6,9.54,1:31.59,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
4,9.59,1:40.89,2,9.68,1:40.71,3,9.65,1:40.83,5,9.46,1:40.91,1,9.68,1:40.58,6,9.58,1:41.17,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
3,8.75,1:49.64,2,8.84,1:49.55,6,9.30,1:50.13,4,9.00,1:49.91,1,8.76,1:49.34,5,8.88,1:50.05,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
3,9.22,1:58.86,2,9.26,1:58.81,6,9.55,1:59.68,4,9.32,1:59.23,1,9.04,1:58.38,5,9.28,1:59.33,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
2,9.53,2:08.39,3,9.87,2:08.68,6,10.08,2:09.76,4,9.45,2:08.68,1,9.34,2:07.72,5,9.40,2:08.73,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
2,9.54,2:17.921,5,10.78,2:19.457,6,11.20,2:20.951,4,9.90,2:18.575,1,10.09,2:17.807,3,9.41,2:18.137,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Semifinals,1
