START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.77,9.77,5,10.30,10.30,6,10.46,10.46,4,10.21,10.21,3,10.08,10.08,2,9.95,9.95,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
1,13.98,23.75,6,14.10,24.40,5,13.89,24.35,4,14.04,24.25,3,13.93,24.01,2,13.93,23.88,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
1,12.69,36.44,6,12.66,37.06,5,12.57,36.92,4,12.65,36.90,3,12.68,36.69,2,12.70,36.58,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
1,12.34,48.78,6,12.33,49.39,5,12.26,49.18,4,12.26,49.16,3,12.34,49.03,2,12.31,48.89,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
2,10.59,59.37,6,10.46,59.85,5,10.54,59.72,3,10.34,59.50,4,10.58,59.61,1,10.34,59.23,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
3,9.97,1:09.34,6,9.84,1:09.69,5,9.70,1:09.42,2,9.76,1:09.26,4,9.79,1:09.40,1,9.96,1:09.19,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
4,9.48,1:18.82,6,9.31,1:19.00,1,9.08,1:18.50,3,9.42,1:18.68,5,9.47,1:18.87,2,9.43,1:18.62,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
4,9.33,1:28.15,6,9.52,1:28.52,2,9.47,1:27.97,3,9.36,1:28.04,5,9.38,1:28.25,1,9.29,1:27.91,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
4,9.32,1:37.47,6,9.33,1:37.85,2,9.27,1:37.24,3,9.33,1:37.37,5,9.30,1:37.55,1,9.25,1:37.16,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
4,9.11,1:46.58,6,9.19,1:47.04,2,9.15,1:46.39,3,9.09,1:46.46,5,9.11,1:46.66,1,9.15,1:46.31,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
3,9.07,1:55.65,6,9.63,1:56.67,2,9.24,1:55.63,4,9.33,1:55.79,5,9.27,1:55.93,1,9.20,1:55.51,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
2,9.16,2:04.81,6,9.73,2:06.40,3,9.39,2:05.02,4,9.25,2:05.04,5,9.20,2:05.13,1,9.07,2:04.58,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
2,9.09,2:13.90,6,10.16,2:16.56,5,9.49,2:14.51,3,8.99,2:14.03,4,9.16,2:14.29,1,9.17,2:13.75,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
1,9.26,2:23.155,6,11.10,2:27.655,5,9.72,2:24.229,3,9.26,2:23.282,4,9.44,2:23.730,2,9.44,2:23.182,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,7
