START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.27,10.27,5,10.53,10.53,6,10.71,10.71,4,10.40,10.40,3,10.31,10.31,2,10.29,10.29,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
4,13.61,23.88,5,13.41,23.94,6,13.46,24.17,3,13.42,23.82,2,13.47,23.78,1,13.37,23.66,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
5,11.04,34.92,3,10.78,34.72,6,10.90,35.07,1,10.69,34.51,4,11.01,34.79,2,10.95,34.61,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
4,10.93,45.85,3,11.07,45.79,6,10.97,46.04,1,10.99,45.50,5,11.09,45.88,2,11.05,45.66,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
1,9.71,55.56,4,10.04,55.83,6,10.11,56.15,2,10.08,55.58,5,10.14,56.02,3,10.03,55.69,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
1,9.72,1:05.28,4,9.71,1:05.54,5,9.49,1:05.64,2,9.77,1:05.35,5,9.62,1:05.64,3,9.76,1:05.45,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
1,10.30,1:15.58,4,10.32,1:15.86,5,10.35,1:15.99,2,10.32,1:15.67,6,10.46,1:16.10,3,10.26,1:15.71,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
1,9.86,1:25.44,3,9.82,1:25.68,5,9.84,1:25.83,3,10.01,1:25.68,6,9.89,1:25.99,2,9.82,1:25.53,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
1,9.75,1:35.19,4,9.73,1:35.41,5,9.73,1:35.56,3,9.66,1:35.34,6,9.74,1:35.73,2,9.77,1:35.30,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
5,10.21,1:45.40,3,9.62,1:45.03,4,9.69,1:45.25,1,9.38,1:44.72,6,9.95,1:45.68,2,9.71,1:45.01,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
6,10.73,1:56.13,2,9.76,1:54.79,3,9.64,1:54.89,1,9.79,1:54.51,5,10.35,1:56.03,4,10.03,1:55.04,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
6,10.69,2:06.82,2,9.73,2:04.52,3,9.99,2:04.88,1,9.91,2:04.42,5,10.65,2:06.68,4,10.21,2:05.25,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
5,10.63,2:17.45,2,10.00,2:14.52,3,9.75,2:14.63,1,10.03,2:14.45,6,11.18,2:17.86,4,10.57,2:15.82,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
5,10.98,2:28.43,3,10.52,2:25.04,2,10.24,2:24.87,1,10.21,2:24.66,6,11.85,2:29.71,4,11.08,2:26.90,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Heats,6
