START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.475,9.475,1,9.086,9.086,2,9.241,9.241,3,9.354,9.354,4,9.364,9.364,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
4,12.404,21.879,1,12.397,21.482,2,12.426,21.666,3,12.422,21.776,5,12.579,21.942,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
1,11.771,33.649,3,12.359,33.841,2,12.119,33.785,4,12.262,34.037,5,12.336,34.277,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
1,11.370,45.019,3,11.348,45.188,2,11.332,45.116,5,11.554,45.591,4,11.122,45.399,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
1,11.670,56.688,3,11.783,56.971,2,11.762,56.878,4,11.555,57.146,5,11.810,57.208,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
3,11.543,1:08.230,2,11.121,1:08.091,1,11.202,1:08.079,4,11.276,1:08.421,5,11.236,1:08.444,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
3,11.083,1:19.313,2,11.184,1:19.275,1,11.089,1:19.168,4,11.194,1:19.615,5,11.282,1:19.725,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
4,11.130,1:30.443,2,11.082,1:30.357,1,11.056,1:30.223,3,10.743,1:30.358,5,10.910,1:30.635,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
5,10.393,1:40.836,4,10.313,1:40.670,1,10.207,1:40.430,2,10.310,1:40.668,3,10.035,1:40.669,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
5,10.177,1:51.012,3,9.909,1:50.579,1,9.982,1:50.411,4,9.971,1:50.638,2,9.772,1:50.440,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
5,10.342,2:01.353,4,10.587,2:01.165,2,9.936,2:00.347,3,9.909,2:00.546,1,9.599,2:00.039,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
5,10.877,2:12.230,4,10.972,2:12.137,2,10.150,2:10.497,3,10.023,2:10.569,1,10.023,2:10.061,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
5,11.217,2:23.446,4,11.181,2:23.317,2,10.299,2:20.796,3,10.445,2:21.013,1,10.277,2:20.337,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
5,11.20,2:34.642,4,11.24,2:34.557,3,11.23,2:32.020,2,10.74,2:31.750,1,10.71,2:31.041,2002-2003,2002 World Cup 4 Italy,1500M,w,Heats,6
