START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,10.14,10.14,5,10.23,10.23,1,9.85,9.85,4,10.22,10.22,2,9.99,9.99,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,13.31,23.45,3,13.15,23.38,1,13.25,23.10,5,13.30,23.52,2,13.26,23.25,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
2,11.89,35.34,4,12.19,35.57,1,12.10,35.20,5,12.15,35.67,3,12.20,35.45,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
3,12.06,47.40,2,11.76,47.33,1,12.05,47.25,4,11.79,47.46,5,12.04,47.49,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,11.06,58.46,1,10.97,58.30,2,11.15,58.40,3,10.97,58.43,5,11.04,58.53,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,10.92,1:09.38,2,10.87,1:09.17,3,10.84,1:09.24,5,11.07,1:09.50,1,10.47,1:09.00,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
3,10.39,1:19.77,4,10.71,1:19.88,1,10.31,1:19.55,5,10.48,1:19.98,2,10.64,1:19.64,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,10.29,1:30.06,3,10.16,1:30.04,2,10.35,1:29.90,5,10.27,1:30.25,1,10.22,1:29.86,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,9.93,1:39.99,1,9.71,1:39.75,2,9.89,1:39.79,5,9.88,1:40.13,3,10.03,1:39.89,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,9.48,1:49.47,1,9.35,1:49.10,2,9.42,1:49.21,5,9.59,1:49.72,3,9.43,1:49.32,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,9.29,1:58.76,1,9.24,1:58.34,2,9.22,1:58.43,5,9.73,1:59.45,3,9.13,1:58.45,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,9.45,2:08.21,1,9.12,2:07.46,3,9.28,2:07.71,5,10.28,2:09.73,2,9.13,2:07.58,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,9.89,2:18.10,1,9.16,2:16.62,3,9.30,2:17.01,5,10.75,2:20.48,2,9.16,2:16.74,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
4,10.55,2:28.647,1,9.27,2:25.889,3,9.76,2:26.769,5,11.29,2:31.765,2,9.38,2:26.114,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,7
