START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.51,8.51,2,8.63,8.63,5,9.16,9.16,4,9.02,9.02,3,8.77,8.77,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,11.88,20.39,2,11.86,20.49,5,11.73,20.89,4,11.74,20.76,3,11.83,20.60,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,11.15,31.54,2,11.14,31.63,5,11.12,32.01,4,11.10,31.86,3,11.14,31.74,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,10.92,42.46,2,10.93,42.56,5,10.95,42.96,4,10.94,42.80,3,10.95,42.69,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,11.02,53.48,2,11.02,53.58,5,11.00,53.96,4,10.99,53.79,3,11.01,53.70,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,10.75,1:04.23,2,10.76,1:04.34,5,10.72,1:04.68,4,10.74,1:04.53,3,10.72,1:04.42,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,10.40,1:14.63,2,10.39,1:14.73,5,21.27,1:25.95,4,21.12,1:25.65,3,10.87,1:15.29,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,10.25,1:24.88,2,10.24,1:24.97,5,18.23,1:44.18,4,17.74,1:43.39,3,10.07,1:25.36,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,10.26,1:35.14,2,10.30,1:35.27,5,14.25,1:58.43,4,13.57,1:56.96,3,10.00,1:35.36,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,9.99,1:45.13,2,9.99,1:45.26,5,12.81,2:11.24,4,11.96,2:08.92,3,10.00,1:45.36,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,9.98,1:55.11,2,10.23,1:55.49,5,12.81,2:24.05,4,11.82,2:20.74,3,10.19,1:55.55,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,10.09,2:05.20,3,10.70,2:06.19,5,12.81,2:36.86,4,11.80,2:32.54,2,9.93,2:05.48,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,10.18,2:15.38,3,11.08,2:17.27,5,12.73,2:49.59,4,12.10,2:44.64,2,10.24,2:15.72,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
1,10.31,2:25.683,3,11.73,2:28.997,0,,PEN,4,12.13,2:56.766,2,10.52,2:26.233,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,w,RepHeats,2
