START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.65,8.65,4,8.78,8.78,2,8.50,8.50,5,8.88,8.88,6,9.00,9.00,1,8.44,8.44,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
3,12.12,20.77,4,12.11,20.89,2,12.13,20.63,5,12.11,20.99,6,12.08,21.08,1,12.07,20.51,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
3,12.05,32.82,5,12.05,32.94,1,11.95,32.58,4,11.93,32.92,6,11.98,33.06,2,12.13,32.64,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
6,11.28,44.10,5,11.13,44.07,2,11.29,43.87,3,11.04,43.96,4,10.98,44.04,1,11.20,43.84,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
6,10.74,54.84,1,10.13,54.20,3,10.57,54.44,4,10.60,54.56,5,10.61,54.65,2,10.50,54.34,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
6,10.40,1:05.24,1,10.66,1:04.86,4,10.62,1:05.06,3,10.47,1:05.03,5,10.41,1:05.06,2,10.62,1:04.96,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
5,9.73,1:14.97,2,9.85,1:14.71,4,9.88,1:14.94,1,9.59,1:14.62,3,9.73,1:14.79,6,10.19,1:15.15,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
5,10.00,1:24.97,2,9.95,1:24.66,4,9.90,1:24.84,1,9.97,1:24.59,3,9.96,1:24.75,6,9.94,1:25.09,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
5,9.79,1:34.76,2,9.73,1:34.39,4,9.77,1:34.61,1,9.70,1:34.29,3,9.73,1:34.48,6,9.77,1:34.86,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
5,9.59,1:44.35,2,9.70,1:44.09,4,9.64,1:44.25,1,9.70,1:43.99,3,9.69,1:44.17,6,9.56,1:44.42,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
5,9.76,1:54.11,2,9.66,1:53.75,4,9.70,1:53.95,1,9.66,1:53.65,3,9.64,1:53.81,6,9.85,1:54.27,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
6,9.53,2:03.64,2,9.45,2:03.20,4,9.38,2:03.33,1,9.45,2:03.10,3,9.46,2:03.27,5,9.35,2:03.62,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
6,9.82,2:13.46,2,9.46,2:12.66,4,9.51,2:12.84,1,9.46,2:12.56,3,9.48,2:12.75,5,9.37,2:12.99,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
6,10.63,2:24.086,2,9.78,2:22.436,4,9.71,2:22.544,1,9.83,2:22.383,3,9.70,2:22.442,5,9.67,2:22.655,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepSemifinals,1
