START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.96,9.96,2,9.57,9.57,5,9.91,9.91,4,9.64,9.64,1,9.40,9.40,3,9.63,9.63,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
6,12.68,22.64,3,12.68,22.25,5,12.59,22.50,4,12.72,22.36,1,12.57,21.97,2,12.49,22.12,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
6,12.14,34.78,3,12.19,34.44,5,12.15,34.65,4,12.17,34.53,1,12.15,34.12,2,12.19,34.31,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
6,12.18,46.96,3,12.16,46.60,5,12.22,46.87,4,12.17,46.70,1,12.13,46.25,2,12.14,46.45,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
6,11.56,58.52,2,11.46,58.06,5,11.50,58.37,4,11.47,58.17,1,11.70,57.95,3,11.68,58.13,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
6,10.33,1:08.85,1,10.36,1:08.42,5,10.40,1:08.77,3,10.41,1:08.58,2,10.53,1:08.48,4,10.54,1:08.67,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
6,10.95,1:19.80,1,10.75,1:19.17,5,10.94,1:19.71,3,10.78,1:19.36,2,10.73,1:19.21,4,10.83,1:19.50,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
6,10.17,1:29.97,1,10.28,1:29.45,5,10.15,1:29.86,3,10.31,1:29.67,2,10.34,1:29.55,4,10.27,1:29.77,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
5,10.07,1:40.04,1,9.85,1:39.30,3,9.64,1:39.50,2,9.71,1:39.38,4,9.97,1:39.52,6,10.75,1:40.52,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
4,9.11,1:49.15,1,9.30,1:48.60,3,9.29,1:48.79,2,9.28,1:48.66,5,9.78,1:49.30,6,10.10,1:50.62,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
4,9.43,1:58.58,1,9.62,1:58.22,3,9.67,1:58.46,2,9.66,1:58.32,5,11.01,2:00.31,6,10.61,2:01.23,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
4,9.56,2:08.14,1,9.53,2:07.75,3,9.48,2:07.94,2,9.54,2:07.86,5,10.15,2:10.46,6,11.33,2:12.56,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
4,9.79,2:17.93,3,9.71,2:17.46,1,9.09,2:17.03,2,9.46,2:17.32,5,10.40,2:20.86,6,12.60,2:25.16,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
3,10.17,2:28.094,2,9.52,2:26.980,0,,DQ,1,9.59,2:26.907,4,10.82,2:31.673,5,12.97,2:38.122,2009-2010,"2010 ISU European Championships, GER, Dresden",1500m,m,Heats,7
