START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
0,10.054,10.054,0,9.927,9.927,0,10.182,10.182,0,10.006,10.006,0,10.267,10.267,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,13.396,23.450,0,13.352,23.278,0,12.939,23.120,0,13.099,23.105,0,12.986,23.253,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,12.450,35.900,0,12.307,35.586,0,12.555,35.675,0,12.371,35.476,0,12.369,35.622,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,12.401,48.301,0,12.499,48.085,0,12.506,48.181,0,12.435,47.911,0,12.586,48.208,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,12.663,1:00.963,0,12.477,1:00.562,0,12.513,1:00.694,0,12.528,1:00.438,0,12.508,1:00.716,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,12.077,1:13.040,0,11.917,1:12.480,0,11.620,1:12.314,0,11.964,1:12.402,0,12.033,1:12.749,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,11.832,1:24.872,0,11.124,1:23.604,0,10.857,1:23.171,0,11.091,1:23.493,0,10.929,1:23.678,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,12.062,1:36.934,0,11.699,1:35.302,0,10.994,1:34.165,0,11.051,1:34.544,0,10.984,1:34.661,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,12.560,1:49.493,0,9.890,1:45.192,0,10.421,1:44.586,0,10.241,1:44.785,0,10.500,1:45.162,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,13.015,2:02.509,0,10.193,1:55.385,0,10.182,1:54.768,0,10.008,1:54.793,0,10.221,1:55.383,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,14.387,2:16.896,0,10.566,2:05.951,0,9.657,2:04.425,0,10.014,2:04.808,0,10.500,2:05.883,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,13.863,2:30.759,0,11.080,2:17.031,0,10.421,2:14.846,0,10.209,2:15.017,0,10.995,2:16.878,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,13.640,2:44.399,0,11.243,2:28.274,0,10.254,2:25.100,0,10.347,2:25.364,0,11.191,2:28.068,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
0,,,0,,,0,,,0,,,0,,,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,3
