START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,11.17,11.17,3,10.74,10.74,5,10.98,10.98,4,10.94,10.94,2,10.66,10.66,1,10.54,10.54,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
6,15.23,26.40,3,15.36,26.10,4,15.22,26.20,5,15.45,26.39,2,15.33,25.99,1,15.33,25.87,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,14.55,40.95,1,14.58,40.68,2,14.48,40.68,6,14.78,41.17,3,14.76,40.75,4,14.98,40.85,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,13.85,54.80,1,13.56,54.24,2,13.71,54.39,6,13.82,54.99,3,13.78,54.53,4,13.81,54.66,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,13.03,1:07.83,1,13.19,1:07.43,2,13.12,1:07.51,6,13.00,1:07.99,3,13.09,1:07.62,4,13.05,1:07.71,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,12.73,1:20.56,3,12.82,1:20.25,1,12.71,1:20.22,6,12.81,1:20.80,2,12.62,1:20.24,4,12.72,1:20.43,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,10.74,1:31.30,3,10.91,1:31.16,1,10.82,1:31.04,6,10.64,1:31.44,2,10.87,1:31.11,4,10.84,1:31.27,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
4,11.13,1:42.43,2,11.12,1:42.28,1,11.21,1:42.25,5,11.28,1:42.72,3,11.22,1:42.33,6,27.59,1:58.86,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,10.11,1:52.54,1,9.93,1:52.21,2,10.11,1:52.36,4,9.81,1:52.53,3,10.10,1:52.43,6,16.12,2:14.98,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,10.36,2:02.90,1,10.29,2:02.50,2,10.23,2:02.59,4,10.18,2:02.71,3,10.24,2:02.67,6,12.73,2:27.71,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,10.56,2:13.46,1,10.32,2:12.82,2,10.31,2:12.90,4,10.33,2:13.04,3,10.32,2:12.99,6,13.07,2:40.78,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,10.61,2:24.07,1,9.74,2:22.56,2,9.81,2:22.71,4,9.76,2:22.80,3,9.78,2:22.77,6,13.96,2:54.74,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,11.08,2:35.15,1,9.77,2:32.33,2,9.80,2:32.51,4,9.85,2:32.65,3,9.81,2:32.58,6,14.11,3:08.85,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
5,11.38,2:46.525,1,9.91,2:42.240,2,9.86,2:42.362,4,9.88,2:42.527,3,9.90,2:42.476,0,,DNF,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,w,Heats,3
