START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.55,8.55,2,8.61,8.61,5,8.94,8.94,4,8.88,8.88,3,8.61,8.61,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
1,13.16,21.71,2,13.34,21.95,5,13.50,22.44,3,13.31,22.19,4,13.67,22.28,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
1,12.85,34.56,2,12.73,34.68,5,12.71,35.15,3,12.74,34.93,4,12.72,35.00,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
1,12.30,46.86,2,12.20,46.88,4,11.89,47.04,3,12.09,47.02,5,12.06,47.06,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
5,10.23,57.09,3,9.95,56.83,1,9.56,56.60,2,9.74,56.76,4,10.00,57.06,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
4,9.74,1:06.83,2,9.85,1:06.68,1,9.97,1:06.57,5,10.13,1:06.89,3,9.74,1:06.80,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
5,10.15,1:16.98,2,10.18,1:16.86,1,10.13,1:16.70,3,9.98,1:16.87,4,10.16,1:16.96,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
5,10.12,1:27.10,2,10.07,1:26.93,1,10.18,1:26.88,3,10.21,1:27.08,4,10.12,1:27.08,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
4,9.42,1:36.52,1,9.07,1:36.00,2,9.30,1:36.18,3,9.42,1:36.50,5,9.65,1:36.73,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
3,9.29,1:45.81,1,9.63,1:45.63,2,9.57,1:45.75,4,9.42,1:45.92,5,9.36,1:46.09,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
3,9.56,1:55.37,1,9.55,1:55.18,2,9.56,1:55.31,4,9.54,1:55.46,5,9.50,1:55.59,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
4,9.70,2:05.07,1,9.61,2:04.79,2,9.64,2:04.95,5,9.66,2:05.12,3,9.44,2:05.03,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
5,9.93,2:15.00,1,9.49,2:14.28,2,9.47,2:14.42,4,9.79,2:14.91,3,9.49,2:14.52,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
5,10.13,2:25.130,1,9.72,2:23.998,2,9.83,2:24.241,4,10.21,2:25.112,3,9.91,2:24.422,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Heats,3
