START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.81,9.81,4,10.21,10.21,2,10.04,10.04,5,10.33,10.33,3,10.10,10.10,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
1,14.66,24.47,5,14.59,24.80,2,14.53,24.57,4,14.44,24.77,3,14.58,24.68,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
2,13.27,37.74,5,13.44,38.24,3,13.42,37.99,1,12.68,37.45,4,13.45,38.13,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
2,12.00,49.74,4,11.66,49.90,3,11.91,49.90,1,12.10,49.55,5,11.87,50.00,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
2,11.38,1:01.12,3,11.39,1:01.29,5,11.56,1:01.46,1,11.41,1:00.96,4,11.37,1:01.37,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
3,11.01,1:12.13,1,10.58,1:11.87,5,10.77,1:12.23,2,11.08,1:12.04,4,10.83,1:12.20,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
4,10.15,1:22.28,2,10.25,1:22.12,3,9.96,1:22.19,1,10.00,1:22.04,5,10.18,1:22.38,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
4,10.07,1:32.35,2,10.01,1:32.13,3,10.09,1:32.28,1,10.00,1:32.04,5,10.08,1:32.46,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
5,9.90,1:42.25,2,9.87,1:42.00,3,9.86,1:42.14,1,9.81,1:41.85,4,9.78,1:42.24,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
5,9.48,1:51.73,2,9.39,1:51.39,3,9.36,1:51.50,1,9.44,1:51.29,4,9.39,1:51.63,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
5,9.05,2:00.78,2,9.11,2:00.50,3,9.13,2:00.63,1,9.13,2:00.42,4,9.07,2:00.70,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
5,8.92,2:09.70,2,8.91,2:09.41,3,8.95,2:09.58,1,8.89,2:09.31,4,8.92,2:09.62,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
4,8.79,2:18.49,2,8.85,2:18.26,3,8.84,2:18.42,1,8.85,2:18.16,5,8.94,2:18.56,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
4,9.09,2:27.572,2,8.96,2:27.211,3,9.02,2:27.439,1,8.97,2:27.127,5,9.02,2:27.579,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(2),m,Semifinals,2
