START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.45,8.45,3,8.59,8.59,4,8.73,8.73,2,8.50,8.50,5,8.80,8.80,6,8.91,8.91,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
2,12.33,20.78,4,12.33,20.92,6,12.29,21.02,1,12.17,20.67,3,12.03,20.83,5,12.04,20.95,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
3,11.05,31.83,5,11.13,32.05,6,11.11,32.13,2,11.05,31.72,1,10.79,31.62,4,10.95,31.90,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
3,11.41,43.24,4,11.26,43.31,6,11.31,43.44,2,11.37,43.09,1,11.33,42.95,5,11.45,43.35,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
2,10.47,53.71,3,10.44,53.75,6,10.62,54.06,4,10.73,53.82,1,10.66,53.61,5,10.60,53.95,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
3,10.32,1:04.03,1,10.07,1:03.82,6,10.30,1:04.36,4,10.30,1:04.12,2,10.31,1:03.92,5,10.29,1:04.24,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
3,10.48,1:14.51,1,10.48,1:14.30,6,10.55,1:14.91,4,10.51,1:14.63,2,10.48,1:14.40,5,10.51,1:14.75,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
3,10.49,1:25.00,1,10.48,1:24.78,6,10.41,1:25.32,4,10.49,1:25.12,2,10.48,1:24.88,5,10.47,1:25.22,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
3,10.30,1:35.30,1,10.30,1:35.08,6,10.42,1:35.74,4,10.27,1:35.39,2,10.31,1:35.19,5,10.30,1:35.52,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
2,10.03,1:45.33,1,10.15,1:45.23,6,10.56,1:46.30,3,10.12,1:45.51,4,10.34,1:45.53,5,10.19,1:45.71,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
2,9.91,1:55.24,1,9.90,1:55.13,6,10.93,1:57.23,3,9.93,1:55.44,4,10.49,1:56.02,5,10.38,1:56.09,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
2,9.59,2:04.83,1,9.60,2:04.73,6,11.34,2:08.57,3,9.69,2:05.13,4,10.39,2:06.41,5,10.43,2:06.52,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
2,9.57,2:14.40,1,9.57,2:14.30,6,11.70,2:20.27,3,9.78,2:14.91,4,10.79,2:17.20,5,10.77,2:17.29,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
2,9.67,2:24.065,1,9.71,2:24.005,6,11.79,2:32.053,3,10.10,2:25.009,5,11.14,2:28.336,4,10.58,2:27.861,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,Heats,6
