START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.61,9.61,1,9.01,9.01,2,9.25,9.25,4,9.32,9.32,3,9.25,9.25,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
5,13.57,23.18,2,13.81,22.82,3,13.74,22.99,1,13.43,22.75,4,13.86,23.11,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
4,12.96,36.14,2,12.91,35.73,3,13.00,35.99,1,12.89,35.64,5,13.16,36.27,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
4,12.75,48.89,2,12.76,48.49,3,12.71,48.70,1,12.72,48.36,5,12.67,48.94,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
5,12.87,1:01.76,2,12.89,1:01.38,4,12.92,1:01.62,1,12.90,1:01.26,3,12.53,1:01.47,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
5,12.15,1:13.91,4,12.42,1:13.80,2,11.99,1:13.61,1,12.33,1:13.59,3,12.21,1:13.68,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
5,10.75,1:24.66,1,10.42,1:24.22,3,10.82,1:24.43,4,11.04,1:24.63,2,10.58,1:24.26,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
5,10.63,1:35.29,1,10.82,1:35.04,2,10.63,1:35.06,4,10.63,1:35.26,3,10.84,1:35.10,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
3,9.71,1:45.00,4,9.98,1:45.02,2,9.82,1:44.88,1,9.48,1:44.74,5,10.17,1:45.27,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
4,9.97,1:54.97,2,9.82,1:54.84,3,9.99,1:54.87,1,9.84,1:54.58,5,9.79,1:55.06,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
4,9.89,2:04.86,2,9.98,2:04.82,3,9.99,2:04.86,1,9.98,2:04.56,5,10.04,2:05.10,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
3,9.82,2:14.68,4,10.19,2:15.01,2,9.77,2:14.63,1,9.86,2:14.42,5,9.99,2:15.09,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
3,10.04,2:24.72,4,10.00,2:25.01,1,9.96,2:24.59,2,10.25,2:24.67,5,10.02,2:25.11,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
3,10.40,2:35.117,4,10.22,2:35.228,1,10.35,2:34.933,2,10.39,2:35.055,5,11.64,2:36.745,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,9
