START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,8.58,8.58,3,8.70,8.70,8,9.21,9.21,5,8.98,8.98,2,8.64,8.64,4,8.82,8.82,6,9.12,9.12,7,9.17,9.17,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
2,11.80,20.38,2,11.68,20.38,8,11.92,21.13,5,11.69,20.67,1,11.61,20.25,4,11.70,20.52,7,11.79,20.91,6,11.65,20.82,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
3,10.82,31.20,1,10.63,31.01,8,10.58,31.71,4,10.58,31.25,2,10.79,31.04,5,10.76,31.28,6,10.46,31.37,7,10.71,31.53,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
5,10.48,41.68,3,10.49,41.50,8,10.36,42.07,7,10.59,41.84,2,10.44,41.48,1,10.16,41.44,6,10.46,41.83,4,9.99,41.52,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
6,9.85,51.53,4,9.83,51.33,8,9.71,51.78,7,9.79,51.63,3,9.76,51.24,1,9.60,51.04,5,9.60,51.43,2,9.63,51.15,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
7,9.82,1:01.35,5,9.81,1:01.14,8,9.73,1:01.51,4,9.43,1:01.06,2,9.79,1:01.03,1,9.93,1:00.97,6,9.83,1:01.26,3,9.90,1:01.05,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
6,9.53,1:10.88,5,9.65,1:10.79,8,9.62,1:11.13,1,9.27,1:10.33,3,9.53,1:10.56,2,9.47,1:10.44,7,9.72,1:10.98,4,9.62,1:10.67,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
6,9.31,1:20.19,5,9.32,1:20.11,8,9.25,1:20.38,1,9.45,1:19.78,3,9.29,1:19.85,2,9.40,1:19.84,7,9.31,1:20.29,4,9.34,1:20.01,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
6,9.19,1:29.38,5,9.19,1:29.30,8,9.30,1:29.68,1,9.14,1:28.92,2,9.15,1:29.00,3,9.18,1:29.02,7,9.25,1:29.54,4,9.20,1:29.21,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
6,9.07,1:38.45,5,9.06,1:38.36,8,9.03,1:38.71,1,9.05,1:37.97,2,9.06,1:38.06,3,9.12,1:38.14,7,9.04,1:38.58,4,9.07,1:38.28,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
6,8.98,1:47.43,5,9.00,1:47.36,8,9.02,1:47.73,1,9.00,1:46.97,2,8.99,1:47.05,3,9.02,1:47.16,7,9.01,1:47.59,4,8.97,1:47.25,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
6,8.82,1:56.25,4,8.75,1:56.11,8,9.00,1:56.73,1,8.97,1:55.94,2,8.92,1:55.97,3,8.94,1:56.10,7,9.05,1:56.64,5,8.96,1:56.21,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
3,9.02,2:05.27,1,8.92,2:05.03,8,9.24,2:05.97,2,9.19,2:05.13,4,9.41,2:05.38,6,9.49,2:05.59,7,9.28,2:05.92,5,9.26,2:05.47,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
3,9.31,2:14.586,1,8.98,2:13.994,7,9.79,2:15.737,2,9.42,2:14.532,4,9.34,2:14.694,8,10.72,2:16.275,6,9.68,2:15.577,5,9.48,2:14.930,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Semifinals,1
