START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.399,9.399,1,8.749,8.749,2,8.991,8.991,3,9.070,9.070,4,9.399,9.399,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
4,13.175,22.574,1,13.445,22.193,2,13.273,22.264,3,13.360,22.430,5,13.201,22.599,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
4,11.605,34.179,2,11.637,33.830,1,11.346,33.609,3,11.678,34.108,5,11.673,34.272,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
3,11.199,45.377,1,11.350,45.179,4,11.803,45.411,2,11.136,45.244,5,11.217,45.488,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
3,11.868,57.244,1,11.693,56.872,5,11.947,57.358,2,11.865,57.108,4,11.793,57.280,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
3,12.225,1:09.469,1,12.260,1:09.131,4,12.200,1:09.558,2,12.194,1:09.302,5,12.290,1:09.569,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
3,11.737,1:21.206,1,11.778,1:20.909,5,11.747,1:21.305,2,11.802,1:21.104,4,11.727,1:21.296,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
3,11.979,1:33.184,1,11.869,1:32.778,4,11.906,1:33.211,2,11.886,1:32.989,5,11.922,1:33.217,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
4,12.115,1:45.299,1,12.278,1:45.056,5,12.190,1:45.400,2,12.068,1:45.057,3,12.079,1:45.295,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
3,10.863,1:56.161,2,11.031,1:56.086,5,10.856,1:56.256,1,10.847,1:55.904,4,10.876,1:56.171,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
2,10.541,2:06.702,1,10.525,2:06.610,5,10.785,2:07.041,4,10.940,2:06.843,3,10.593,2:06.764,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
1,9.558,2:16.259,3,10.143,2:16.753,4,10.784,2:17.824,5,11.036,2:17.878,2,9.666,2:16.430,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
1,9.733,2:25.992,3,10.122,2:26.875,5,11.486,2:29.309,4,11.430,2:29.307,2,9.572,2:26.001,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
1,10.27,2:36.262,3,10.72,2:37.586,4,11.56,2:40.860,5,11.82,2:41.127,2,10.47,2:36.467,2003-2004,"2004 World Championship, Sweden",1500M,w,Heats,4
