START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,10.55,10.55,1,10.35,10.35,5,10.87,10.87,3,10.62,10.62,4,10.72,10.72,6,11.05,11.05,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
3,13.33,23.88,2,13.39,23.74,5,13.21,24.08,1,12.99,23.61,4,13.22,23.94,6,13.17,24.22,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
2,12.43,36.31,3,12.58,36.32,5,12.50,36.58,1,12.63,36.24,4,12.45,36.39,6,12.54,36.76,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
3,12.10,48.41,4,12.17,48.49,5,12.05,48.63,2,12.05,48.29,1,11.77,48.16,6,12.02,48.78,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
4,11.96,1:00.37,1,11.57,1:00.06,5,11.87,1:00.50,3,11.97,1:00.26,2,11.99,1:00.15,6,11.87,1:00.65,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
4,10.99,1:11.36,1,11.04,1:11.10,5,10.94,1:11.44,3,11.04,1:11.30,2,11.06,1:11.21,6,10.94,1:11.59,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
2,10.61,1:21.97,3,10.91,1:22.01,5,10.78,1:22.22,1,10.53,1:21.83,4,10.85,1:22.06,6,10.71,1:22.30,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
2,10.16,1:32.13,5,10.33,1:32.34,4,10.09,1:32.31,1,10.19,1:32.02,3,10.19,1:32.25,6,10.20,1:32.50,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
3,9.78,1:41.91,6,10.00,1:42.34,1,9.37,1:41.68,2,9.76,1:41.78,4,9.83,1:42.08,5,9.69,1:42.19,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
3,9.40,1:51.31,6,10.09,1:52.43,1,9.44,1:51.12,2,9.42,1:51.20,4,9.37,1:51.45,5,9.43,1:51.62,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
3,9.62,2:00.93,6,10.76,2:03.19,1,9.61,2:00.73,2,9.63,2:00.83,4,9.50,2:00.95,5,9.48,2:01.10,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
4,9.86,2:10.79,6,11.43,2:14.62,1,9.47,2:10.20,2,9.47,2:10.30,5,10.36,2:11.31,3,9.51,2:10.61,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
4,10.00,2:20.79,6,11.94,2:26.56,1,9.40,2:19.60,2,9.43,2:19.73,5,10.77,2:22.08,3,9.53,2:20.14,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
4,10.44,2:31.23,6,12.58,2:39.14,1,9.54,2:29.14,2,9.50,2:29.23,5,11.31,2:33.39,3,9.67,2:29.81,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,6
