START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.16,9.16,3,9.07,9.07,2,9.05,9.05,5,9.15,9.15,1,9.04,9.04,4,9.08,9.08,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
6,13.60,22.77,2,13.11,22.18,1,12.87,21.92,5,13.39,22.55,4,13.36,22.40,3,13.19,22.28,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
6,12.23,35.00,4,12.44,34.63,1,12.42,34.35,5,12.27,34.82,3,12.15,34.55,2,12.21,34.50,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
2,10.08,45.09,5,10.71,45.35,6,11.14,45.50,1,10.04,44.86,4,10.74,45.30,3,10.63,45.13,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
1,9.69,54.79,6,10.14,55.49,3,9.59,55.09,2,10.15,55.01,5,9.83,55.14,4,9.99,55.13,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
2,10.75,1:05.54,6,10.41,1:05.90,5,10.57,1:05.67,1,10.41,1:05.43,3,10.46,1:05.60,4,10.50,1:05.63,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
3,10.08,1:15.62,6,10.20,1:16.11,1,9.80,1:15.47,2,10.09,1:15.53,5,10.29,1:15.90,4,10.09,1:15.73,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
3,9.66,1:25.29,6,9.58,1:25.69,1,9.50,1:24.98,2,9.74,1:25.27,5,9.61,1:25.52,4,9.70,1:25.44,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
4,9.98,1:35.27,6,9.96,1:35.66,2,10.18,1:35.17,1,9.86,1:35.14,3,9.66,1:35.18,5,9.90,1:35.34,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
3,9.89,1:45.17,6,9.85,1:45.51,1,9.75,1:44.93,2,9.95,1:45.09,5,10.05,1:45.24,4,9.87,1:45.21,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
4,9.78,1:54.95,6,9.67,1:55.19,2,9.82,1:54.75,1,9.53,1:54.62,5,9.77,1:55.02,3,9.60,1:54.82,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
3,9.68,2:04.64,4,9.45,2:04.64,5,10.06,2:04.81,1,9.38,2:04.01,6,9.86,2:04.88,2,9.54,2:04.36,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
5,10.07,2:14.71,3,9.27,2:13.91,6,10.30,2:15.11,1,9.58,2:13.59,4,9.80,2:14.68,2,9.46,2:13.82,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
4,10.38,2:25.083,2,9.50,2:23.410,6,11.02,2:26.130,1,9.73,2:23.320,5,10.50,2:25.177,3,10.29,2:24.103,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,Heats,7
