START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.976,8.976,2,8.992,8.992,5,9.398,9.398,4,9.105,9.105,3,9.068,9.068,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
3,12.753,21.728,2,12.641,21.632,5,12.576,21.974,4,12.691,21.795,1,12.393,21.460,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
3,11.005,32.733,4,11.375,33.007,1,10.602,32.575,5,11.227,33.022,2,11.262,32.722,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
3,10.931,43.664,5,11.117,44.123,1,11.019,43.593,4,11.057,44.078,2,10.904,43.625,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
1,10.395,54.058,4,10.613,54.736,2,10.610,54.202,5,20.144,1:04.222,3,10.681,54.306,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
2,10.674,1:04.732,3,10.121,1:04.856,4,10.670,1:04.871,5,14.816,1:19.038,1,10.276,1:04.582,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
2,9.824,1:14.555,3,9.786,1:14.641,4,9.907,1:14.778,5,10.610,1:29.648,1,9.724,1:14.305,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
1,9.259,1:23.814,3,9.473,1:24.114,4,9.583,1:24.361,5,10.527,1:40.175,2,9.540,1:23.845,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
2,10.053,1:33.866,3,10.072,1:34.185,4,10.222,1:34.582,5,10.625,1:50.799,1,9.986,1:33.831,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
1,9.701,1:43.566,3,9.769,1:43.954,4,9.838,1:44.420,5,10.708,2:01.507,2,9.827,1:43.657,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
1,9.395,1:52.961,3,9.494,1:53.448,4,9.524,1:53.944,5,11.959,2:13.465,2,9.470,1:53.127,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
3,9.604,2:02.565,2,9.010,2:02.457,4,9.143,2:03.086,5,10.997,2:24.462,1,9.124,2:02.251,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
2,9.030,2:11.595,3,9.344,2:11.800,4,9.619,2:12.704,5,10.992,2:35.454,1,9.174,2:11.425,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
2,8.98,2:20.566,3,8.96,2:20.758,4,9.24,2:21.944,5,10.65,2:46.098,1,9.05,2:20.472,2005-2006,"2006 World Championships, USA",1500M,m,Heats,3
