START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,9.21,9.21,3,9.49,9.49,7,10.29,10.29,2,9.32,9.32,4,9.66,9.66,5,9.81,9.81,6,9.89,9.89,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
1,12.50,21.71,4,12.52,22.01,7,12.18,22.47,3,12.57,21.89,5,12.52,22.18,6,12.48,22.29,2,11.89,21.78,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
1,11.22,32.93,5,11.32,33.33,4,10.74,33.21,3,11.25,33.14,7,11.29,33.47,6,11.11,33.40,2,11.27,33.05,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
2,10.00,42.93,5,9.95,43.28,1,9.61,42.82,4,9.97,43.11,7,10.09,43.56,6,10.00,43.40,3,9.98,43.03,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
1,10.09,53.02,5,10.14,53.42,2,10.25,53.07,4,10.19,53.30,7,10.08,53.64,6,10.11,53.51,3,10.16,53.19,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
1,10.21,1:03.23,5,10.22,1:03.64,2,10.29,1:03.36,4,10.23,1:03.53,7,10.22,1:03.86,6,10.23,1:03.74,3,10.27,1:03.46,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
1,10.26,1:13.49,5,10.20,1:13.84,2,10.22,1:13.58,4,10.16,1:13.69,7,10.22,1:14.08,6,10.20,1:13.94,3,10.22,1:13.68,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
2,9.80,1:23.29,4,9.69,1:23.53,1,9.57,1:23.15,7,10.24,1:23.93,6,9.79,1:23.87,5,9.85,1:23.79,3,9.74,1:23.42,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
2,9.67,1:32.96,4,9.65,1:33.18,1,9.70,1:32.85,7,9.77,1:33.70,6,9.62,1:33.49,5,9.54,1:33.33,3,9.67,1:33.09,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
2,9.85,1:42.81,4,9.86,1:43.04,1,9.83,1:42.68,7,9.87,1:43.57,6,9.77,1:43.26,5,9.81,1:43.14,3,9.85,1:42.94,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
2,9.74,1:52.55,4,9.77,1:52.81,1,9.76,1:52.44,7,10.41,1:53.98,6,9.81,1:53.07,5,9.80,1:52.94,3,9.80,1:52.74,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
2,9.66,2:02.21,3,9.49,2:02.30,1,9.67,2:02.11,7,10.94,2:04.92,6,9.70,2:02.77,4,9.69,2:02.63,5,9.90,2:02.64,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
2,9.71,2:11.92,3,9.64,2:11.94,1,9.65,2:11.76,7,11.28,2:16.20,5,9.83,2:12.60,4,9.74,2:12.37,6,10.27,2:12.91,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
2,9.89,2:21.801,3,10.02,2:21.956,1,9.64,2:21.396,7,11.54,2:27.731,5,10.16,2:22.757,4,9.95,2:22.321,6,10.88,2:23.783,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,w,Semifinals,1
