START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.71,9.71,4,9.84,9.84,2,9.59,9.59,5,9.94,9.94,1,9.46,9.46,6,10.10,10.10,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
4,14.13,23.84,1,13.55,23.39,3,14.11,23.70,5,14.08,24.02,2,14.10,23.56,6,14.06,24.16,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
5,12.05,35.89,2,12.29,35.68,3,12.09,35.79,4,11.80,35.82,1,12.01,35.57,6,11.81,35.97,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
6,10.74,46.63,5,10.87,46.55,4,10.72,46.51,2,10.64,46.46,1,10.78,46.35,3,10.51,46.48,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
6,10.45,57.08,5,10.42,56.97,4,10.28,56.79,2,10.27,56.73,1,10.28,56.63,3,10.29,56.77,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
6,10.66,1:07.74,5,10.65,1:07.62,4,10.75,1:07.54,2,10.61,1:07.34,1,10.60,1:07.23,3,10.67,1:07.44,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
6,11.18,1:18.92,5,11.19,1:18.81,4,11.15,1:18.69,2,11.14,1:18.48,1,11.12,1:18.35,3,11.14,1:18.58,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
5,11.25,1:30.17,4,11.31,1:30.12,6,11.48,1:30.17,2,11.49,1:29.97,1,11.49,1:29.84,3,11.46,1:30.04,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
4,10.57,1:40.74,6,10.69,1:40.81,3,10.53,1:40.70,1,10.53,1:40.50,5,10.90,1:40.74,2,10.54,1:40.58,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
5,10.58,1:51.32,6,10.75,1:51.56,4,10.59,1:51.29,1,10.61,1:51.11,3,10.53,1:51.27,2,10.61,1:51.19,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
3,10.52,2:01.84,6,10.68,2:02.24,4,10.65,2:01.94,2,10.67,2:01.78,5,10.80,2:02.07,1,10.44,2:01.63,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
3,10.16,2:12.00,6,10.07,2:12.31,4,10.23,2:12.17,2,10.05,2:11.83,5,10.22,2:12.29,1,10.06,2:11.69,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
3,9.89,2:21.89,6,10.25,2:22.56,4,10.20,2:22.37,2,9.93,2:21.76,5,10.16,2:22.45,1,9.98,2:21.67,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
2,10.16,2:32.046,6,10.65,2:33.204,5,10.55,2:32.916,1,10.18,2:31.936,4,10.38,2:32.824,3,10.44,2:32.103,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,w,RepSemifinals,1
