START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.35,9.35,3,9.62,9.62,5,10.22,10.22,4,9.90,9.90,2,9.61,9.61,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
1,14.14,23.49,3,14.06,23.68,5,13.93,24.15,4,14.14,24.04,2,14.05,23.66,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
1,13.35,36.84,2,13.38,37.06,5,13.34,37.49,4,13.27,37.31,3,13.51,37.17,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
1,12.96,49.80,2,12.93,49.99,5,12.89,50.38,4,12.96,50.27,3,12.95,50.12,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
1,12.55,1:02.35,3,12.66,1:02.65,5,12.59,1:02.97,4,12.50,1:02.77,2,12.50,1:02.62,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
1,12.22,1:14.57,2,12.22,1:14.87,5,12.39,1:15.36,4,12.30,1:15.07,3,12.33,1:14.95,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
1,11.76,1:26.33,3,11.64,1:26.51,5,11.51,1:26.87,4,11.52,1:26.59,2,11.41,1:26.36,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
3,10.35,1:36.68,2,10.12,1:36.63,5,10.25,1:37.12,4,10.23,1:36.82,1,10.01,1:36.37,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
3,9.82,1:46.50,2,9.78,1:46.41,5,9.78,1:46.90,4,9.73,1:46.55,1,9.85,1:46.22,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
3,9.67,1:56.17,2,9.71,1:56.12,5,9.49,1:56.39,4,9.68,1:56.23,1,9.83,1:56.05,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
5,9.89,2:06.06,4,9.72,2:05.84,2,9.03,2:05.42,3,9.54,2:05.77,1,9.28,2:05.33,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
5,9.98,2:16.04,4,9.94,2:15.78,1,9.32,2:14.74,3,9.15,2:14.92,2,9.53,2:14.86,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
5,10.46,2:26.50,4,10.25,2:26.03,1,9.41,2:24.15,2,9.30,2:24.22,3,9.52,2:24.38,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
5,11.11,2:37.606,4,10.84,2:36.864,1,9.44,2:33.586,2,9.59,2:33.808,3,9.81,2:34.183,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,m,Heats,8
