START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.08,9.08,2,8.81,8.81,1,8.76,8.76,3,8.85,8.85,5,8.98,8.98,4,8.97,8.97,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
5,11.16,20.24,6,11.59,20.40,2,11.22,19.98,3,11.19,20.04,4,11.20,20.18,1,10.80,19.77,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
5,10.92,31.16,6,10.85,31.25,2,10.91,30.89,3,10.91,30.95,4,10.91,31.09,1,10.84,30.61,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
5,11.01,42.17,6,11.08,42.33,3,11.14,42.03,4,11.18,42.13,2,10.83,41.92,1,11.18,41.79,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
4,10.15,52.32,6,10.29,52.62,3,10.09,52.12,5,10.24,52.37,1,9.78,51.70,2,10.09,51.88,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
4,9.63,1:01.95,6,9.55,1:02.17,2,9.47,1:01.59,5,9.68,1:02.05,1,9.88,1:01.58,3,9.82,1:01.70,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
5,9.63,1:11.58,6,9.52,1:11.69,2,9.69,1:11.28,4,9.51,1:11.56,1,9.54,1:11.12,3,9.66,1:11.36,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
4,9.32,1:20.90,6,9.38,1:21.07,3,9.40,1:20.68,5,9.46,1:21.02,2,9.54,1:20.66,1,9.28,1:20.64,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
4,9.41,1:30.31,6,9.64,1:30.71,1,9.41,1:30.09,5,9.47,1:30.49,1,9.43,1:30.09,3,9.58,1:30.22,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
2,9.26,1:39.57,6,9.43,1:40.14,3,9.62,1:39.71,5,9.47,1:39.96,1,9.29,1:39.38,4,9.56,1:39.78,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
3,9.51,1:49.08,6,9.38,1:49.52,2,9.25,1:48.96,5,9.30,1:49.26,1,9.40,1:48.78,4,9.43,1:49.21,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
3,9.64,1:58.72,5,9.54,1:59.06,2,9.61,1:58.57,1,9.27,1:58.53,4,10.08,1:58.86,6,9.98,1:59.19,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
2,9.44,2:08.16,6,10.46,2:09.52,1,9.57,2:08.14,3,9.91,2:08.44,4,9.78,2:08.64,5,10.14,2:09.33,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
2,10.04,2:18.115,6,10.96,2:20.48,1,9.79,2:17.917,3,9.96,2:18.407,4,10.31,2:19.096,5,10.61,2:19.993,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,7
