START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,10.77,10.77,6,10.93,10.93,1,10.61,10.61,3,10.73,,2,10.64,10.64,5,10.84,10.84,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
5,15.35,26.12,6,15.37,26.30,1,15.01,25.62,2,15.06,,3,15.31,25.95,4,15.26,26.10,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
3,13.03,39.15,6,13.24,39.54,1,13.38,39.00,2,13.27,,4,13.36,39.31,5,13.32,39.42,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
3,13.03,52.18,6,12.93,52.47,2,13.04,52.04,1,12.90,,4,12.96,52.27,5,12.95,52.37,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
3,13.72,1:05.90,6,13.89,1:06.36,2,13.63,1:05.67,1,13.55,,4,13.76,1:06.03,5,13.79,1:06.16,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
4,13.33,1:19.23,6,13.11,1:19.47,2,13.43,1:19.10,1,13.50,,5,13.33,1:19.36,3,13.05,1:19.21,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
3,13.52,1:32.75,5,13.48,1:32.95,2,13.45,1:32.55,1,13.42,,4,13.47,1:32.83,6,13.78,1:32.99,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
4,12.15,1:44.90,4,11.95,1:44.90,2,12.18,1:44.73,1,12.18,,6,12.21,1:45.04,3,11.90,1:44.89,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
2,10.09,1:54.99,4,10.25,1:55.15,3,10.36,1:55.09,1,10.25,,5,10.38,1:55.42,6,10.54,1:55.43,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
1,9.66,2:04.65,6,10.57,2:05.72,3,9.70,2:04.79,1,9.79,,4,9.54,2:04.96,5,9.99,2:05.42,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
1,9.25,2:13.90,6,10.95,2:16.67,3,9.19,2:13.98,2,9.31,,4,9.14,2:14.10,5,9.87,2:15.29,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
1,9.40,2:23.30,6,11.92,2:28.59,3,9.52,2:23.50,2,9.42,,4,9.47,2:23.57,5,10.50,2:25.79,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
1,9.58,2:32.88,6,11.97,2:40.56,3,9.51,2:33.01,2,9.57,,4,9.55,2:33.12,5,10.78,2:36.57,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
1,9.78,2:42.646,5,12.86,2:53.407,3,10.03,2:43.034,2,9.98,,2,9.88,2:42.997,4,11.72,2:48.272,2016-2017,ISU World Short Track Championships 2017,1500m,m,RankingFinals,2
