START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.04,10.04,2,10.05,10.05,4,10.22,10.22,5,10.45,10.45,3,10.17,10.17,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
4,13.32,23.36,1,12.92,22.97,3,13.00,23.22,5,13.09,23.54,2,12.89,23.06,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
4,12.42,35.78,1,12.43,35.40,3,12.41,35.63,5,12.50,36.04,2,12.44,35.50,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
4,12.13,47.91,1,12.12,47.52,3,12.17,47.80,5,12.01,48.05,2,12.14,47.64,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
5,12.27,1:00.18,1,12.26,59.78,3,12.27,1:00.07,3,12.02,1:00.07,2,12.26,59.90,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
3,11.54,1:11.72,2,11.76,1:11.54,5,11.73,1:11.80,1,11.13,1:11.20,4,11.86,1:11.76,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
3,11.25,1:22.97,2,11.31,1:22.85,5,11.33,1:23.13,1,11.26,1:22.46,4,11.36,1:23.12,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
2,11.40,1:34.37,3,11.62,1:34.47,4,11.35,1:34.48,1,11.18,1:33.64,5,11.59,1:34.71,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
2,11.26,1:45.63,3,11.28,1:45.75,4,11.46,1:45.94,1,11.33,1:44.97,5,12.10,1:46.81,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
3,11.73,1:57.36,2,11.28,1:57.03,4,11.44,1:57.38,1,11.35,1:56.32,5,12.46,1:59.27,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
3,11.39,2:08.75,2,11.53,2:08.56,4,11.46,2:08.84,1,11.28,2:07.60,5,12.75,2:12.02,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
3,11.58,2:20.33,2,11.44,2:20.00,4,11.69,2:20.53,1,11.02,2:18.62,5,13.78,2:25.80,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
4,12.23,2:32.56,2,11.42,2:31.42,3,11.64,2:32.17,1,10.96,2:29.58,5,14.58,2:40.38,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
4,12.82,2:45.347,2,11.81,2:43.218,3,11.80,2:43.941,1,10.52,2:40.084,5,14.79,2:55.136,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,1
