START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.28,8.28,2,8.35,8.35,3,8.39,8.39,4,8.50,8.50,5,8.61,8.61,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
2,12.49,20.77,1,12.28,20.63,3,12.48,20.87,4,12.46,20.96,5,12.46,21.07,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
2,12.26,33.03,1,12.27,32.90,3,12.28,33.15,4,12.29,33.25,5,12.30,33.37,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
2,12.44,45.47,1,12.37,45.27,3,12.44,45.59,4,12.42,45.67,5,12.39,45.76,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
3,11.22,56.69,1,11.17,56.44,4,11.21,56.80,2,10.86,56.53,5,11.18,56.94,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
2,10.13,1:06.82,3,10.40,1:06.84,4,10.24,1:07.04,1,10.27,1:06.80,5,10.17,1:07.11,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
2,9.67,1:16.49,3,9.74,1:16.58,5,9.71,1:16.75,1,9.55,1:16.35,4,9.57,1:16.68,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
2,10.13,1:26.62,3,10.13,1:26.71,5,10.13,1:26.88,1,10.16,1:26.51,4,10.15,1:26.83,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
2,9.57,1:36.19,3,9.58,1:36.29,4,9.58,1:36.46,1,9.68,1:36.19,5,10.05,1:36.88,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
1,9.43,1:45.62,3,9.60,1:45.89,4,9.60,1:46.06,2,9.59,1:45.78,5,10.57,1:47.45,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
1,9.46,1:55.08,3,9.51,1:55.40,4,9.55,1:55.61,2,9.54,1:55.32,5,10.53,1:57.98,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
1,9.66,2:04.74,2,9.46,2:04.86,4,9.82,2:05.43,3,9.61,2:04.93,5,10.93,2:08.91,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
1,9.75,2:14.49,2,9.64,2:14.50,4,10.22,2:15.65,3,9.83,2:14.76,5,11.23,2:20.14,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
2,10.04,2:24.525,1,9.87,2:24.362,4,10.75,2:26.400,3,10.28,2:25.040,5,11.66,2:31.797,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,5
