START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.95,8.95,2,8.76,8.76,4,9.22,9.22,5,9.24,9.24,6,9.52,9.52,1,8.45,8.45,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
3,10.53,19.48,2,10.63,19.39,4,10.35,19.57,5,10.53,19.77,6,10.35,19.87,1,10.83,19.28,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
3,10.33,29.81,2,10.32,29.71,4,10.34,29.91,5,10.28,30.05,6,10.29,30.16,1,10.33,29.61,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
3,10.24,40.05,2,10.24,39.95,4,10.23,40.14,5,10.20,40.25,6,10.20,40.36,1,10.23,39.84,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
3,10.23,50.28,2,10.25,50.20,4,10.21,50.35,5,10.14,50.39,6,10.19,50.55,1,10.27,50.11,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
5,10.12,1:00.40,2,10.00,1:00.20,4,10.04,1:00.39,3,9.91,1:00.30,6,10.11,1:00.66,1,10.00,1:00.11,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
5,10.11,1:10.51,3,10.13,1:10.33,4,10.04,1:10.43,2,9.94,1:10.24,6,10.43,1:11.09,1,10.05,1:10.16,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
5,10.11,1:20.62,3,10.05,1:20.38,4,10.02,1:20.45,1,9.98,1:20.22,6,9.96,1:21.05,2,10.14,1:20.30,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
5,9.85,1:30.47,3,9.91,1:30.29,4,9.89,1:30.34,1,9.92,1:30.14,6,10.02,1:31.07,2,9.97,1:30.27,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
5,9.69,1:40.16,1,9.46,1:39.75,4,9.64,1:39.98,2,9.67,1:39.81,6,10.37,1:41.44,3,9.70,1:39.97,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
5,9.55,1:49.71,1,9.28,1:49.03,3,9.30,1:49.28,2,9.28,1:49.09,6,10.73,1:52.17,4,9.61,1:49.58,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
5,9.73,1:59.44,1,9.30,1:58.33,3,9.25,1:58.53,2,9.33,1:58.42,6,11.25,2:03.42,4,9.84,1:59.42,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
4,11.20,2:10.64,2,9.38,2:07.71,3,9.40,2:07.93,1,9.23,2:07.65,5,11.42,2:14.84,6,23.81,2:23.23,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
0,,PEN,2,9.54,2:17.246,3,9.77,2:17.701,1,9.34,2:16.982,4,11.84,2:26.674,5,15.51,2:38.739,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,m,Preliminaries,14
