START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
5,9.31,9.31,6,9.42,,7,9.56,9.56,3,9.24,9.24,1,9.12,9.12,2,9.18,9.18,4,9.26,9.26,8,9.71,9.71,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
4,11.96,21.27,6,12.08,,7,12.05,21.61,5,12.11,21.35,3,12.02,21.14,2,11.87,21.05,1,11.52,20.78,8,12.05,21.76,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
6,11.39,32.66,7,11.22,,4,10.93,32.54,5,11.26,32.61,3,11.39,32.53,2,11.46,32.51,1,11.58,32.36,8,11.09,32.85,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
7,10.69,43.35,4,10.52,,3,10.63,43.17,2,10.50,43.11,1,10.57,43.10,8,10.89,43.40,5,10.90,43.26,6,10.48,43.33,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
8,10.39,53.74,2,10.06,,5,10.37,53.54,4,10.34,53.45,1,10.10,53.20,7,10.33,53.73,6,10.40,53.66,3,10.05,53.38,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
8,10.26,1:04.00,2,10.18,,5,10.18,1:03.72,4,10.19,1:03.64,1,10.12,1:03.32,7,10.18,1:03.91,6,10.16,1:03.82,3,10.20,1:03.58,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
8,10.32,1:14.32,1,10.22,,6,10.41,1:14.13,4,10.27,1:13.91,2,10.39,1:13.71,7,10.28,1:14.19,5,10.19,1:14.01,3,10.27,1:13.85,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
8,9.69,1:24.01,3,10.13,,6,9.80,1:23.93,1,9.78,1:23.69,2,10.03,1:23.74,7,9.81,1:24.00,5,9.86,1:23.87,4,10.01,1:23.86,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
6,9.88,1:33.89,8,27.86,,6,9.96,1:33.89,1,9.56,1:33.25,2,9.79,1:33.53,5,9.81,1:33.81,3,9.83,1:33.70,4,9.93,1:33.79,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
3,9.50,1:43.39,8,12.79,,6,10.03,1:43.92,1,9.63,1:42.88,2,9.52,1:43.05,5,9.75,1:43.56,4,9.73,1:43.43,7,10.18,1:43.97,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
3,9.35,1:52.74,8,10.11,,6,10.02,1:53.94,1,9.77,1:52.65,2,9.67,1:52.72,4,9.71,1:53.27,5,9.95,1:53.38,7,10.71,1:54.68,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
1,9.50,2:02.24,8,9.95,,6,10.21,2:04.15,2,9.94,2:02.59,3,9.92,2:02.64,4,10.14,2:03.41,5,10.44,2:03.82,7,11.24,2:05.92,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
1,9.76,2:12.00,8,10.14,,5,10.44,2:14.59,3,10.24,2:12.83,2,10.00,2:12.64,4,10.40,2:13.81,6,10.79,2:14.61,7,11.73,2:17.65,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
1,10.12,2:22.12,8,14.84,,5,10.51,2:25.085,3,10.27,2:23.10,2,10.34,2:22.98,4,10.74,2:24.55,6,11.21,2:25.819,7,11.89,2:29.528,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,2
