START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,10.59,10.59,5,10.79,10.79,1,10.22,10.22,3,10.43,10.43,2,10.34,10.34,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
4,14.43,25.02,5,14.45,25.24,1,14.50,24.72,2,14.35,24.78,3,14.52,24.86,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
4,13.20,38.22,5,13.12,38.36,1,13.14,37.86,2,13.25,38.03,3,13.27,38.13,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
4,13.01,51.23,5,12.99,51.35,1,12.91,50.77,2,12.93,50.96,3,12.96,51.09,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
4,12.69,1:03.92,5,12.69,1:04.04,1,12.71,1:03.48,2,12.70,1:03.66,3,12.68,1:03.77,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
5,12.23,1:16.15,4,11.94,1:15.98,1,12.34,1:15.82,3,12.31,1:15.97,1,12.05,1:15.82,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
5,10.40,1:26.55,3,10.39,1:26.37,2,10.47,1:26.29,4,10.47,1:26.44,1,10.40,1:26.22,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
5,10.48,1:37.03,3,10.46,1:36.83,2,10.42,1:36.71,4,10.50,1:36.94,1,10.41,1:36.63,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
5,10.06,1:47.09,3,10.02,1:46.85,2,10.03,1:46.74,4,10.03,1:46.97,1,10.03,1:46.66,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
5,9.82,1:56.91,3,9.87,1:56.72,2,9.85,1:56.59,4,9.79,1:56.76,1,9.86,1:56.52,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
4,9.62,2:06.53,5,9.83,2:06.55,2,9.58,2:06.17,3,9.45,2:06.21,1,9.58,2:06.10,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
4,9.74,2:16.27,5,10.28,2:16.83,3,9.44,2:15.61,2,9.32,2:15.53,1,9.40,2:15.50,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
4,10.15,2:26.42,5,10.80,2:27.63,3,9.54,2:25.15,1,9.33,2:24.86,2,9.48,2:24.98,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
4,10.68,2:37.10,5,11.60,2:39.23,3,9.73,2:34.88,1,9.55,2:34.41,2,9.49,2:34.47,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),1500m,w,Quarterfinals,4
