START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,10.022,10.022,3,9.785,9.785,6,10.066,10.066,4,9.859,9.859,2,9.281,9.281,1,9.270,9.270,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
3,12.756,22.777,5,13.364,23.149,6,13.494,23.560,4,13.213,23.072,1,13.199,22.480,2,13.216,22.485,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
3,12.874,35.650,5,12.609,35.758,6,12.204,35.763,1,12.312,35.384,4,13.255,35.734,2,13.080,35.564,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
3,12.914,48.564,4,13.125,48.883,5,13.389,49.151,6,15.413,50.796,1,12.535,48.269,2,12.844,48.408,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
5,12.484,1:01.047,4,11.749,1:00.631,6,11.921,1:01.072,2,9.427,1:00.223,1,11.783,1:00.051,3,11.892,1:00.299,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
5,9.744,1:10.791,1,7.238,1:07.868,6,10.227,1:11.299,4,10.452,1:10.675,2,10.419,1:10.470,3,10.185,1:10.484,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
2,9.498,1:20.288,1,12.309,1:20.177,6,9.141,1:20.439,4,9.755,1:20.429,3,9.892,1:20.362,5,9.954,1:20.438,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
4,10.243,1:30.530,1,9.743,1:29.920,6,10.433,1:30.872,5,10.202,1:30.631,3,10.013,1:30.375,2,9.791,1:30.228,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
5,9.716,1:40.246,1,9.708,1:39.627,6,9.766,1:40.637,4,9.434,1:40.064,2,9.364,1:39.739,3,9.673,1:39.900,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
5,9.088,1:49.333,1,9.245,1:48.871,6,8.802,1:49.439,4,9.235,1:49.298,3,9.553,1:49.291,2,9.330,1:49.230,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
5,9.530,1:58.863,1,9.304,1:58.175,6,9.913,1:59.351,4,9.222,1:58.520,3,9.009,1:58.300,2,9.050,1:58.280,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
5,9.675,2:08.537,1,9.096,2:07.270,6,9.905,2:09.256,4,9.377,2:07.896,2,9.280,2:07.579,3,9.381,2:07.660,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
5,10.118,2:18.655,1,9.601,2:16.871,6,10.201,2:19.457,4,9.475,2:17.371,3,9.656,2:17.235,2,9.491,2:17.150,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
6,10.72,2:29.366,1,9.46,2:26.327,5,9.63,2:29.079,3,9.09,2:26.457,4,9.31,2:26.540,2,9.31,2:26.454,2005-2006,"2006 World Championships, USA",1500M,m,Heats,9
