START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,9.407,9.407,6,9.473,9.473,1,8.514,8.514,2,8.857,8.857,4,9.047,9.047,3,8.898,8.898,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
4,11.297,20.705,6,11.679,21.151,1,11.955,20.470,3,11.776,20.633,5,11.815,20.862,2,11.718,20.616,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
5,11.075,31.779,6,10.744,31.895,1,10.703,31.173,3,10.788,31.421,4,10.695,31.557,2,10.668,31.284,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
5,10.914,42.693,6,10.919,42.814,1,10.923,42.097,2,10.921,42.342,3,10.988,42.545,4,11.274,42.558,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,11.294,53.987,4,10.851,53.665,1,11.305,53.401,3,11.255,53.597,5,11.248,53.793,2,11.004,53.562,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,10.763,1:04.750,2,10.379,1:04.043,1,10.559,1:03.961,4,10.568,1:04.164,5,10.584,1:04.377,3,10.525,1:04.087,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
5,10.631,1:15.380,6,11.383,1:15.426,1,10.848,1:14.808,3,10.932,1:15.096,4,10.799,1:15.176,2,10.893,1:14.980,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,10.638,1:26.018,5,10.046,1:25.472,1,10.080,1:24.888,3,9.939,1:25.036,4,9.990,1:25.166,2,10.016,1:24.996,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,10.593,1:36.611,5,10.207,1:35.679,1,10.180,1:35.068,3,10.228,1:35.263,2,10.034,1:35.200,4,10.420,1:35.416,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,10.759,1:47.370,5,10.212,1:45.891,1,10.029,1:45.097,4,10.169,1:45.432,2,10.020,1:45.220,3,9.811,1:45.227,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,11.346,1:58.716,5,10.416,1:56.306,1,9.679,1:54.776,4,10.317,1:55.749,2,9.637,1:54.857,3,9.979,1:55.206,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,11.556,2:10.272,4,10.606,2:06.913,1,9.451,2:04.227,5,11.441,2:07.190,2,9.563,2:04.419,3,9.667,2:04.873,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,11.734,2:22.006,4,11.012,2:17.924,1,9.472,2:13.699,5,10.822,2:18.012,2,9.703,2:14.122,3,9.482,2:14.355,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
6,11.766,2:33.772,4,11.200,2:29.125,1,10.064,2:23.763,5,11.174,2:29.186,2,10.031,2:24.153,3,9.909,2:24.264,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,6
