START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,10.03,10.03,3,9.93,9.93,6,10.27,10.27,2,9.79,9.79,1,9.66,9.66,4,9.99,9.99,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
5,14.03,24.06,4,13.99,23.92,6,13.87,24.14,3,14.01,23.80,1,13.91,23.57,2,13.71,23.70,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
5,13.89,37.95,4,13.91,37.83,6,13.95,38.09,3,13.86,37.66,1,13.77,37.34,2,13.82,37.52,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
5,12.31,50.26,3,12.14,49.97,6,12.29,50.38,2,12.19,49.85,1,12.43,49.77,4,12.59,50.11,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
6,11.50,1:01.76,4,11.53,1:01.50,5,11.13,1:01.51,3,11.51,1:01.36,2,11.46,1:01.23,1,10.99,1:01.10,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
6,10.12,1:11.88,4,10.11,1:11.61,5,10.20,1:11.71,3,10.14,1:11.50,1,10.18,1:11.41,2,10.33,1:11.43,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
6,9.57,1:21.45,4,9.51,1:21.12,5,9.55,1:21.26,3,9.53,1:21.03,2,9.60,1:21.01,1,9.49,1:20.92,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
6,9.57,1:31.02,4,9.70,1:30.82,5,9.65,1:30.91,3,9.69,1:30.72,2,9.65,1:30.66,1,9.66,1:30.58,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
6,9.81,1:40.83,3,9.80,1:40.62,5,9.90,1:40.81,4,9.97,1:40.69,2,9.88,1:40.54,1,9.86,1:40.44,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
2,9.02,1:49.85,5,9.61,1:50.23,6,9.53,1:50.34,3,9.31,1:50.00,4,9.57,1:50.11,1,9.37,1:49.81,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
1,8.60,1:58.45,5,8.90,1:59.13,6,8.90,1:59.24,4,8.98,1:58.98,3,8.86,1:58.97,2,9.10,1:58.91,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
1,8.80,2:07.25,3,8.80,2:07.93,4,8.86,2:08.10,5,9.15,2:08.13,2,8.89,2:07.86,6,9.36,2:08.27,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
1,8.92,2:16.17,3,8.91,2:16.84,4,8.90,2:17.00,5,9.06,2:17.19,2,8.97,2:16.83,6,10.79,2:19.06,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
1,9.29,2:25.460,2,9.17,2:26.007,0,,PEN,4,8.96,2:26.147,3,9.30,2:26.123,5,13.55,2:32.603,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),m,Semifinals,2
