START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.57,8.57,3,8.84,8.84,2,8.69,8.69,4,9.00,9.00,5,9.12,9.12,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
1,11.64,20.21,3,11.56,20.40,2,11.61,20.30,4,11.50,20.50,5,11.45,20.57,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
1,11.85,32.06,4,11.80,32.20,2,11.84,32.14,3,11.67,32.17,5,11.77,32.34,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
1,11.84,43.90,4,11.99,44.19,2,11.84,43.98,3,11.90,44.07,5,11.94,44.28,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
1,11.70,55.60,3,11.58,55.77,2,11.63,55.61,4,11.72,55.79,5,11.70,55.98,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
5,30.42,1:26.02,2,10.43,1:06.20,1,10.39,1:06.00,3,10.61,1:06.40,4,10.63,1:06.61,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
5,20.81,1:46.83,2,10.14,1:16.34,1,10.24,1:16.24,3,10.00,1:16.40,4,9.94,1:16.55,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
5,14.67,2:01.50,2,10.19,1:26.53,1,10.20,1:26.44,3,10.21,1:26.61,4,10.22,1:26.77,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
5,11.94,2:13.44,2,10.31,1:36.84,1,10.24,1:36.68,3,10.32,1:36.93,4,10.22,1:36.99,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
5,11.85,2:25.29,4,10.51,1:47.35,1,10.24,1:46.92,2,10.08,1:47.01,3,10.35,1:47.34,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
5,11.31,2:36.60,4,11.51,1:58.86,1,10.25,1:57.17,2,10.25,1:57.26,3,10.71,1:58.05,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
5,11.32,2:47.92,4,12.47,2:11.33,1,10.38,2:07.55,2,10.39,2:07.65,3,11.02,2:09.07,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
5,11.67,2:59.59,4,13.17,2:24.50,1,10.42,2:17.97,2,10.49,2:18.14,3,11.29,2:20.36,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
4,11.44,3:11.021,3,12.52,2:37.014,1,10.58,2:28.549,0,,PEN,2,11.70,2:32.057,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,RepSemifinals,2
