START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.99,8.99,2,9.12,9.12,4,9.24,9.24,3,9.24,9.24,5,9.40,9.40,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
1,13.00,21.99,2,12.99,22.11,4,13.11,22.35,3,13.00,22.24,5,13.03,22.43,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
2,12.55,34.54,4,12.53,34.64,1,12.14,34.49,3,12.36,34.60,5,12.35,34.78,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,11.84,46.38,4,11.88,46.52,1,11.70,46.19,2,11.68,46.28,5,11.84,46.62,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,12.06,58.44,4,12.04,58.56,1,12.05,58.24,2,12.04,58.32,5,12.06,58.68,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,11.60,1:10.04,5,11.74,1:10.30,2,11.69,1:09.93,1,11.53,1:09.85,4,11.48,1:10.16,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,11.04,1:21.08,4,10.94,1:21.24,2,11.02,1:20.95,1,11.10,1:20.95,5,11.17,1:21.33,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,10.39,1:31.47,4,10.35,1:31.59,1,10.28,1:31.23,2,10.41,1:31.36,5,10.33,1:31.66,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,9.63,1:41.10,5,9.85,1:41.44,1,9.68,1:40.91,2,9.65,1:41.01,4,9.57,1:41.23,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,9.19,1:50.29,5,9.41,1:50.85,1,9.21,1:50.12,2,9.20,1:50.21,4,9.20,1:50.43,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,9.04,1:59.33,5,9.45,2:00.30,1,9.04,1:59.16,2,9.03,1:59.24,4,9.00,1:59.43,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,8.99,2:08.32,5,9.76,2:10.06,1,8.95,2:08.11,2,8.99,2:08.23,4,9.02,2:08.45,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,9.06,2:17.38,5,10.05,2:20.11,1,9.04,2:17.15,2,9.04,2:17.27,4,9.10,2:17.55,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
3,9.11,2:26.484,5,10.41,2:30.511,1,9.15,2:26.293,2,9.14,2:26.402,4,9.48,2:27.027,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(1),m,Heats,1
