START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,9.36,9.36,1,8.86,8.86,2,9.17,9.17,4,9.65,9.65,5,9.87,9.87,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
3,11.98,21.34,1,12.02,20.88,2,12.05,21.22,4,11.83,21.48,5,11.80,21.67,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
3,11.78,33.12,1,12.05,32.93,2,11.82,33.04,4,11.76,33.24,5,11.72,33.39,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
3,12.35,45.47,2,12.42,45.35,1,12.17,45.21,4,12.28,45.52,5,12.34,45.73,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
4,11.59,57.06,3,11.58,56.93,2,11.59,56.80,1,11.09,56.61,5,11.46,57.19,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,11.00,1:08.06,3,10.99,1:07.92,2,11.01,1:07.81,1,11.08,1:07.69,4,10.74,1:07.93,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,10.24,1:18.30,4,9.83,1:17.75,3,9.72,1:17.53,2,9.70,1:17.39,1,9.34,1:17.27,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,10.24,1:28.54,4,9.62,1:27.37,3,9.68,1:27.21,2,9.71,1:27.10,1,9.76,1:27.03,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,10.80,1:39.34,4,9.79,1:37.16,3,9.78,1:36.99,2,9.75,1:36.85,1,9.69,1:36.72,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,10.86,1:50.20,4,9.70,1:46.86,3,9.77,1:46.76,2,9.80,1:46.65,1,9.85,1:46.57,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,11.10,2:01.30,4,9.83,1:56.69,3,9.82,1:56.58,2,9.75,1:56.40,1,9.74,1:56.31,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,11.36,2:12.66,4,9.74,2:06.43,3,9.80,2:06.38,2,9.56,2:05.96,1,9.55,2:05.86,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,11.87,2:24.53,3,9.87,2:16.30,4,10.09,2:16.47,2,9.61,2:15.57,1,9.58,2:15.44,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
5,11.96,2:36.49,3,9.89,2:26.19,4,10.40,2:26.87,2,9.81,2:25.38,1,9.88,2:25.32,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),w,Heats,3
