START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,10.02,10.02,2,9.84,9.84,3,9.95,9.95,5,10.14,10.14,6,10.27,10.27,1,9.72,9.72,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,13.64,23.66,2,13.49,23.33,3,13.51,23.46,5,13.62,23.76,6,13.60,23.87,1,13.47,23.19,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,12.92,36.58,2,12.85,36.18,3,12.91,36.37,5,12.93,36.69,6,12.98,36.85,1,12.91,36.10,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,12.33,48.91,2,12.35,48.53,3,12.39,48.76,5,12.32,49.01,6,12.29,49.14,1,12.31,48.41,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,11.90,1:00.81,3,12.09,1:00.62,2,11.81,1:00.57,5,11.89,1:00.90,6,11.90,1:01.04,1,12.10,1:00.51,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,11.50,1:12.31,3,11.52,1:12.14,1,11.45,1:12.02,5,11.48,1:12.38,6,11.45,1:12.49,2,11.56,1:12.07,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,11.49,1:23.80,3,11.50,1:23.64,2,11.54,1:23.56,5,11.51,1:23.89,6,11.51,1:24.00,1,11.40,1:23.47,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,11.02,1:34.82,1,10.76,1:34.40,3,11.04,1:34.60,5,11.04,1:34.93,6,11.02,1:35.02,2,11.10,1:34.57,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,10.63,1:45.45,1,10.71,1:45.11,2,10.62,1:45.22,5,10.62,1:45.55,6,10.59,1:45.61,3,10.74,1:45.31,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
4,10.19,1:55.64,2,10.31,1:55.42,1,10.05,1:55.27,6,10.20,1:55.75,5,10.10,1:55.71,3,10.25,1:55.56,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
2,9.74,2:05.38,5,10.15,2:05.57,1,9.75,2:05.02,6,9.88,2:05.63,4,9.75,2:05.46,3,9.89,2:05.45,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
3,9.38,2:14.76,5,9.97,2:15.54,1,9.53,2:14.55,6,10.18,2:15.81,2,9.11,2:14.57,4,9.69,2:15.14,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
1,9.33,2:24.09,5,10.38,2:25.92,2,9.59,2:24.14,6,10.26,2:26.07,3,9.58,2:24.15,4,9.67,2:24.81,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
1,9.68,2:33.762,5,10.48,2:36.396,3,9.82,2:33.957,6,10.49,2:36.560,2,9.66,2:33.809,4,9.92,2:34.726,2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,Heats,3
