START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.72,8.72,3,9.01,9.01,2,8.88,8.88,4,9.15,9.15,5,9.36,9.36,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
1,12.69,21.41,3,12.66,21.67,2,12.67,21.55,4,12.65,21.80,5,12.60,21.96,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
1,12.39,33.80,3,12.38,34.05,2,12.43,33.98,4,12.42,34.22,5,12.39,34.35,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
1,12.24,46.04,2,12.10,46.15,3,12.20,46.18,4,12.08,46.30,5,12.11,46.46,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
1,11.78,57.82,3,11.78,57.93,2,11.71,57.89,4,11.81,58.11,5,11.77,58.23,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
2,10.65,1:08.47,3,10.61,1:08.54,1,10.50,1:08.39,4,10.50,1:08.61,5,10.48,1:08.71,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
3,10.62,1:19.09,4,10.68,1:19.22,1,10.58,1:18.97,5,10.74,1:19.35,2,10.28,1:18.99,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
3,9.73,1:28.82,4,9.76,1:28.98,2,9.75,1:28.72,5,9.73,1:29.08,1,9.65,1:28.64,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
3,9.88,1:38.70,4,9.84,1:38.82,2,9.87,1:38.59,5,9.83,1:38.91,1,9.86,1:38.50,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
3,9.63,1:48.33,4,9.69,1:48.51,2,9.61,1:48.20,5,9.64,1:48.55,1,9.62,1:48.12,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
4,9.54,1:57.87,5,9.68,1:58.19,2,9.49,1:57.69,3,9.19,1:57.74,1,9.45,1:57.57,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
4,9.68,2:07.55,5,9.88,2:08.07,3,9.50,2:07.19,1,9.12,2:06.86,2,9.49,2:07.06,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
4,9.95,2:17.50,5,9.93,2:18.00,3,9.72,2:16.91,1,9.21,2:16.07,2,9.31,2:16.37,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
4,10.43,2:27.922,5,10.08,2:28.075,3,10.05,2:26.952,1,9.46,2:25.527,2,9.46,2:25.824,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Heats,1
