START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.410,9.410,1,9.340,9.340,5,10.240,10.240,4,9.990,9.990,3,9.490,9.490,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
3,13.410,22.830,2,13.380,22.730,5,13.210,23.450,1,12.660,22.650,4,13.670,23.160,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
1,12.530,35.360,3,12.740,35.470,5,12.680,36.140,4,13.310,35.960,2,12.260,35.430,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
2,13.010,48.370,3,13.140,48.620,5,13.130,49.280,4,13.200,49.170,1,12.880,48.310,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
1,13.360,1:01.740,3,13.340,1:01.960,5,13.460,1:02.750,4,13.190,1:02.370,2,13.510,1:01.820,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
3,13.250,1:15.000,1,12.890,1:14.860,5,13.040,1:15.790,4,13.270,1:15.640,2,13.110,1:14.930,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
2,12.300,1:27.310,3,12.680,1:27.540,5,12.040,1:27.830,4,12.110,1:27.750,1,12.170,1:27.110,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
3,10.740,1:38.060,4,10.700,1:38.250,5,10.600,1:38.430,2,10.070,1:37.820,1,10.680,1:37.790,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
3,9.500,1:47.560,4,9.410,1:47.660,5,9.530,1:47.960,2,9.360,1:47.190,1,9.390,1:47.190,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
3,9.460,1:57.030,5,11.490,1:59.160,4,9.210,1:57.180,1,9.550,1:56.740,2,9.620,1:56.810,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
3,9.370,2:06.400,5,30.250,2:29.410,4,9.560,2:06.740,2,9.540,2:06.280,1,9.400,2:06.210,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
4,9.880,2:16.280,5,15.400,2:44.810,3,9.460,2:16.200,2,9.550,2:15.840,1,9.340,2:15.550,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
4,9.610,2:25.890,5,12.520,2:57.340,3,9.370,2:25.580,2,9.310,2:25.150,1,9.280,2:24.830,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
4,9.800,2:35.690,5,12.430,3:09.770,3,9.710,2:35.300,2,9.830,2:34.990,1,9.770,2:34.610,2007-2008,"Samsung ISU World Cup 2007/2008, Italy, Torino",1500m(1),m,RepFinalB,1
