START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,12.80,12.80,2,12.47,12.47,3,12.60,,1,12.20,12.20,6,13.12,13.12,4,12.75,12.75,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
5,17.16,29.96,3,17.20,29.67,4,17.21,,1,17.13,29.33,6,17.02,30.14,2,16.77,29.52,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
2,14.77,44.73,3,15.24,44.91,5,15.34,,1,15.27,44.60,6,15.23,45.37,4,15.44,44.96,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
4,12.98,57.71,6,13.01,57.92,1,12.30,,3,13.02,57.62,2,12.21,57.58,5,12.83,57.79,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
5,11.50,1:09.21,6,11.41,1:09.33,3,11.54,,1,11.26,1:08.88,4,11.47,1:09.05,1,11.09,1:08.88,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
5,10.49,1:19.70,6,10.48,1:19.81,2,10.36,,3,10.48,1:19.36,4,10.52,1:19.57,1,10.40,1:19.28,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
5,10.35,1:30.05,6,10.37,1:30.18,1,10.33,,3,10.47,1:29.83,1,10.11,1:29.68,4,10.56,1:29.84,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
5,10.09,1:40.14,6,10.08,1:40.26,2,10.11,,3,10.05,1:39.88,1,9.97,1:39.65,4,10.08,1:39.92,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
5,9.54,1:49.68,6,9.55,1:49.81,2,9.59,,3,9.59,1:49.47,1,9.64,1:49.29,4,9.65,1:49.57,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
5,9.18,1:58.86,6,9.13,1:58.94,3,9.21,,2,9.11,1:58.58,1,9.23,1:58.52,4,9.18,1:58.75,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
4,8.90,2:07.76,5,8.90,2:07.84,1,8.98,,3,9.17,2:07.75,2,9.14,2:07.66,6,9.11,2:07.86,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
2,8.75,2:16.51,3,8.76,2:16.60,3,9.03,,5,8.87,2:16.62,1,8.84,2:16.50,6,9.19,2:17.05,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
1,8.41,2:24.92,2,8.46,2:25.06,6,9.93,,4,8.95,2:25.57,3,8.83,2:25.33,5,9.06,2:26.11,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
1,8.70,2:33.611,2,8.60,2:33.650,6,9.95,,3,8.62,2:34.181,4,8.92,2:34.200,5,9.70,2:35.789,2017-2018,ISU Shanghai Trophy 2017,1500m,m,Semifinals,2
