START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,7.98,7.98,2,8.10,8.10,4,8.43,8.43,5,8.65,8.65,3,8.24,8.24,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
1,11.01,18.99,2,11.00,19.10,4,10.88,19.31,5,10.80,19.45,3,10.96,19.20,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
1,10.45,29.44,2,10.44,29.54,4,10.45,29.76,5,10.48,29.93,3,10.46,29.66,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
2,10.76,40.20,3,10.76,40.30,4,10.66,40.42,5,10.64,40.57,1,10.38,40.04,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
2,10.02,50.22,3,10.05,50.35,4,10.06,50.48,5,10.04,50.61,1,10.07,50.11,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
2,9.85,1:00.07,3,9.82,1:00.17,4,9.82,1:00.30,5,9.82,1:00.43,1,9.90,1:00.01,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
1,9.77,1:09.84,2,9.78,1:09.95,5,10.11,1:10.41,4,9.70,1:10.13,3,10.11,1:10.12,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
1,9.76,1:19.60,2,9.75,1:19.70,5,9.91,1:20.32,3,9.69,1:19.82,4,10.05,1:20.17,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
1,9.73,1:29.33,2,9.74,1:29.44,5,10.01,1:30.33,3,9.73,1:29.55,4,10.06,1:30.23,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
1,9.78,1:39.11,2,9.76,1:39.20,4,10.45,1:40.78,3,9.74,1:39.29,5,10.63,1:40.86,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
1,9.91,1:49.02,3,9.92,1:49.12,4,10.55,1:51.33,2,9.75,1:49.04,5,11.55,1:52.41,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
3,10.22,1:59.24,2,9.65,1:58.77,4,10.87,2:02.20,1,9.33,1:58.37,5,11.99,2:04.40,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
3,10.20,2:09.44,2,9.31,2:08.08,4,11.26,2:13.46,1,9.36,2:07.73,5,12.62,2:17.02,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
3,10.51,2:19.946,2,9.85,2:17.922,4,11.67,2:25.125,1,9.56,2:17.290,5,11.97,2:28.986,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,m,Heats,7
