START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,9.342,9.342,2,9.573,9.573,3,9.668,9.668,4,9.772,9.772,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,13.539,22.880,3,13.452,23.025,4,13.415,23.083,2,13.185,22.957,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
2,12.156,35.036,4,12.222,35.246,3,12.019,35.101,1,11.819,34.775,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
3,11.982,47.017,4,11.968,47.214,2,11.802,46.903,1,12.064,46.838,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
3,12.511,59.528,4,12.469,59.682,2,12.508,59.411,1,12.537,59.375,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,11.587,1:11.115,4,11.840,1:11.521,2,11.907,1:11.318,3,12.046,1:11.420,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,10.859,1:21.973,4,10.916,1:22.437,2,10.726,1:22.044,3,10.725,1:22.145,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,11.132,1:33.104,4,11.106,1:33.542,2,11.209,1:33.252,3,11.132,1:33.276,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,11.042,1:44.146,4,11.007,1:44.549,2,11.028,1:44.279,3,11.030,1:44.306,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,10.257,1:54.403,4,10.221,1:54.769,2,10.131,1:54.410,3,10.265,1:54.570,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,9.789,2:04.192,4,9.948,2:04.717,2,9.897,2:04.306,3,9.821,2:04.390,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,9.518,2:13.710,4,10.267,2:14.983,2,9.407,2:13.712,3,9.670,2:14.060,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,9.621,2:23.331,4,10.916,2:25.899,2,9.777,2:23.489,3,9.900,2:23.960,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
1,9.83,2:33.157,4,11.17,2:37.068,2,9.77,2:33.257,3,10.52,2:34.480,2004-2005,"2004 World Cup 4, Canada",1500M,w,Heats,1
