START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,10.198,10.198,2,10.062,10.062,6,10.745,10.745,4,10.412,10.412,5,10.637,10.637,1,9.795,9.795,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
6,13.059,23.257,4,12.803,22.865,3,11.866,22.611,2,11.552,21.964,5,12.584,23.221,1,10.272,20.067,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
4,9.510,32.767,5,10.134,32.999,3,9.689,32.300,2,9.679,31.643,6,9.916,33.137,1,9.346,29.413,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
4,10.541,43.307,6,10.631,43.630,3,9.335,41.634,2,9.102,40.744,5,10.477,43.613,1,9.748,39.160,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
5,9.809,53.116,6,9.810,53.439,3,9.311,50.944,2,9.449,50.192,4,9.499,53.112,1,10.146,49.306,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
4,9.935,1:03.051,6,9.845,1:03.283,3,9.710,1:00.654,1,9.866,1:00.058,5,10.052,1:03.163,2,11.132,1:00.437,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
5,9.996,1:13.046,6,9.944,1:13.227,3,9.924,1:10.577,1,10.067,1:10.124,4,9.881,1:13.043,2,9.860,1:10.297,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
4,10.484,1:23.529,5,10.305,1:23.532,3,9.956,1:20.533,1,10.012,1:20.135,6,10.502,1:23.545,2,10.038,1:20.334,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
4,10.356,1:33.884,6,10.873,1:34.405,3,10.127,1:30.660,1,10.282,1:30.417,5,10.721,1:34.265,2,10.136,1:30.470,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
4,10.140,1:44.024,6,10.375,1:44.779,3,10.595,1:41.255,2,10.792,1:41.208,5,10.166,1:44.430,1,10.522,1:40.992,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
5,10.718,1:54.742,6,10.403,1:55.182,3,10.335,1:51.589,2,10.316,1:51.524,4,10.190,1:54.620,1,10.435,1:51.427,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
5,10.287,2:05.029,6,10.366,2:05.548,3,10.321,2:01.910,1,10.305,2:01.828,4,10.223,2:04.843,2,10.418,2:01.845,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
5,10.480,2:15.508,6,10.227,2:15.774,2,9.909,2:11.818,1,9.945,2:11.773,4,10.415,2:15.257,3,10.547,2:12.392,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
5,10.23,2:25.733,6,10.21,2:25.982,1,10.86,2:22.669,2,11.07,2:22.842,4,10.25,2:25.501,3,10.97,2:23.353,2004-2005,"2005 World Cup 6, Slovakia",1500M,m,SemiFinals,2
